Date,Energy Balance [GWh],Energy Source
2020-01-01 00:00:00,0.66,Geothermal
2020-01-01 00:00:00,4.10,Hydro
2020-01-01 00:00:00,0.00,Photovoltaic
2020-01-01 00:00:00,12.39,Thermal
2020-01-01 00:00:00,2.43,Wind
2020-01-01 01:00:00,0.66,Geothermal
2020-01-01 01:00:00,3.55,Hydro
2020-01-01 01:00:00,0.00,Photovoltaic
2020-01-01 01:00:00,12.04,Thermal
2020-01-01 01:00:00,2.55,Wind
2020-01-01 02:00:00,0.66,Geothermal
2020-01-01 02:00:00,3.20,Hydro
2020-01-01 02:00:00,0.00,Photovoltaic
2020-01-01 02:00:00,12.08,Thermal
2020-01-01 02:00:00,2.57,Wind
2020-01-01 03:00:00,0.66,Geothermal
2020-01-01 03:00:00,2.94,Hydro
2020-01-01 03:00:00,0.00,Photovoltaic
2020-01-01 03:00:00,11.51,Thermal
2020-01-01 03:00:00,3.12,Wind
2020-01-01 04:00:00,0.66,Geothermal
2020-01-01 04:00:00,2.89,Hydro
2020-01-01 04:00:00,0.00,Photovoltaic
2020-01-01 04:00:00,10.97,Thermal
2020-01-01 04:00:00,3.66,Wind
2020-01-01 05:00:00,0.66,Geothermal
2020-01-01 05:00:00,2.81,Hydro
2020-01-01 05:00:00,0.00,Photovoltaic
2020-01-01 05:00:00,11.03,Thermal
2020-01-01 05:00:00,3.79,Wind
2020-01-01 06:00:00,0.66,Geothermal
2020-01-01 06:00:00,2.90,Hydro
2020-01-01 06:00:00,0.00,Photovoltaic
2020-01-01 06:00:00,11.16,Thermal
2020-01-01 06:00:00,3.58,Wind
2020-01-01 07:00:00,0.66,Geothermal
2020-01-01 07:00:00,3.50,Hydro
2020-01-01 07:00:00,0.06,Photovoltaic
2020-01-01 07:00:00,10.67,Thermal
2020-01-01 07:00:00,3.72,Wind
2020-01-01 08:00:00,0.66,Geothermal
2020-01-01 08:00:00,3.92,Hydro
2020-01-01 08:00:00,1.02,Photovoltaic
2020-01-01 08:00:00,10.52,Thermal
2020-01-01 08:00:00,3.64,Wind
2020-01-01 09:00:00,0.66,Geothermal
2020-01-01 09:00:00,3.67,Hydro
2020-01-01 09:00:00,3.15,Photovoltaic
2020-01-01 09:00:00,9.89,Thermal
2020-01-01 09:00:00,3.38,Wind
2020-01-01 10:00:00,0.66,Geothermal
2020-01-01 10:00:00,3.64,Hydro
2020-01-01 10:00:00,5.17,Photovoltaic
2020-01-01 10:00:00,10.00,Thermal
2020-01-01 10:00:00,3.30,Wind
2020-01-01 11:00:00,0.66,Geothermal
2020-01-01 11:00:00,3.72,Hydro
2020-01-01 11:00:00,6.57,Photovoltaic
2020-01-01 11:00:00,10.18,Thermal
2020-01-01 11:00:00,3.36,Wind
2020-01-01 12:00:00,0.66,Geothermal
2020-01-01 12:00:00,3.33,Hydro
2020-01-01 12:00:00,6.87,Photovoltaic
2020-01-01 12:00:00,10.69,Thermal
2020-01-01 12:00:00,2.92,Wind
2020-01-01 13:00:00,0.66,Geothermal
2020-01-01 13:00:00,3.29,Hydro
2020-01-01 13:00:00,6.21,Photovoltaic
2020-01-01 13:00:00,10.79,Thermal
2020-01-01 13:00:00,3.19,Wind
2020-01-01 14:00:00,0.66,Geothermal
2020-01-01 14:00:00,3.32,Hydro
2020-01-01 14:00:00,4.21,Photovoltaic
2020-01-01 14:00:00,10.70,Thermal
2020-01-01 14:00:00,3.64,Wind
2020-01-01 15:00:00,0.66,Geothermal
2020-01-01 15:00:00,3.75,Hydro
2020-01-01 15:00:00,1.85,Photovoltaic
2020-01-01 15:00:00,10.87,Thermal
2020-01-01 15:00:00,4.15,Wind
2020-01-01 16:00:00,0.66,Geothermal
2020-01-01 16:00:00,4.44,Hydro
2020-01-01 16:00:00,0.20,Photovoltaic
2020-01-01 16:00:00,11.32,Thermal
