Date,Energy Balance [GWh],Energy Source
2020-10-01 00:00:00,0.64,Geothermal
2020-10-01 00:00:00,3.32,Hydro
2020-10-01 00:00:00,0.00,Photovoltaic
2020-10-01 00:00:00,17.54,Thermal
2020-10-01 00:00:00,0.49,Wind
2020-10-01 01:00:00,0.65,Geothermal
2020-10-01 01:00:00,2.77,Hydro
2020-10-01 01:00:00,0.00,Photovoltaic
2020-10-01 01:00:00,16.55,Thermal
2020-10-01 01:00:00,0.51,Wind
2020-10-01 02:00:00,0.65,Geothermal
2020-10-01 02:00:00,2.64,Hydro
2020-10-01 02:00:00,0.00,Photovoltaic
2020-10-01 02:00:00,15.70,Thermal
2020-10-01 02:00:00,0.58,Wind
2020-10-01 03:00:00,0.65,Geothermal
2020-10-01 03:00:00,2.58,Hydro
2020-10-01 03:00:00,0.00,Photovoltaic
2020-10-01 03:00:00,15.28,Thermal
2020-10-01 03:00:00,0.60,Wind
2020-10-01 04:00:00,0.65,Geothermal
2020-10-01 04:00:00,2.58,Hydro
2020-10-01 04:00:00,0.00,Photovoltaic
2020-10-01 04:00:00,15.48,Thermal
2020-10-01 04:00:00,0.76,Wind
2020-10-01 05:00:00,0.64,Geothermal
2020-10-01 05:00:00,2.80,Hydro
2020-10-01 05:00:00,0.00,Photovoltaic
2020-10-01 05:00:00,16.69,Thermal
2020-10-01 05:00:00,0.89,Wind
2020-10-01 06:00:00,0.64,Geothermal
2020-10-01 06:00:00,3.80,Hydro
2020-10-01 06:00:00,0.00,Photovoltaic
2020-10-01 06:00:00,19.85,Thermal
2020-10-01 06:00:00,0.88,Wind
2020-10-01 07:00:00,0.64,Geothermal
2020-10-01 07:00:00,5.11,Hydro
2020-10-01 07:00:00,0.30,Photovoltaic
2020-10-01 07:00:00,22.46,Thermal
2020-10-01 07:00:00,0.72,Wind
2020-10-01 08:00:00,0.63,Geothermal
2020-10-01 08:00:00,6.35,Hydro
2020-10-01 08:00:00,1.83,Photovoltaic
2020-10-01 08:00:00,23.46,Thermal
2020-10-01 08:00:00,0.49,Wind
2020-10-01 09:00:00,0.62,Geothermal
2020-10-01 09:00:00,6.40,Hydro
2020-10-01 09:00:00,3.84,Photovoltaic
2020-10-01 09:00:00,23.09,Thermal
2020-10-01 09:00:00,0.34,Wind
2020-10-01 10:00:00,0.62,Geothermal
2020-10-01 10:00:00,5.64,Hydro
2020-10-01 10:00:00,5.34,Photovoltaic
2020-10-01 10:00:00,22.54,Thermal
2020-10-01 10:00:00,0.37,Wind
2020-10-01 11:00:00,0.61,Geothermal
2020-10-01 11:00:00,4.72,Hydro
2020-10-01 11:00:00,6.59,Photovoltaic
2020-10-01 11:00:00,22.18,Thermal
2020-10-01 11:00:00,0.44,Wind
2020-10-01 12:00:00,0.62,Geothermal
2020-10-01 12:00:00,3.76,Hydro
