Date,Energy Balance [GWh],Energy Source
2020-11-01 00:00:00,0.64,Geothermal
2020-11-01 00:00:00,4.34,Hydro
2020-11-01 00:00:00,0.00,Photovoltaic
2020-11-01 00:00:00,11.03,Thermal
2020-11-01 00:00:00,0.95,Wind
2020-11-01 01:00:00,0.64,Geothermal
2020-11-01 01:00:00,4.04,Hydro
2020-11-01 01:00:00,0.00,Photovoltaic
2020-11-01 01:00:00,10.62,Thermal
2020-11-01 01:00:00,1.00,Wind
2020-11-01 02:00:00,0.64,Geothermal
2020-11-01 02:00:00,3.77,Hydro
2020-11-01 02:00:00,0.00,Photovoltaic
2020-11-01 02:00:00,10.47,Thermal
2020-11-01 02:00:00,1.04,Wind
2020-11-01 03:00:00,0.64,Geothermal
2020-11-01 03:00:00,3.64,Hydro
2020-11-01 03:00:00,0.00,Photovoltaic
2020-11-01 03:00:00,10.34,Thermal
2020-11-01 03:00:00,0.96,Wind
2020-11-01 04:00:00,0.64,Geothermal
2020-11-01 04:00:00,3.67,Hydro
2020-11-01 04:00:00,0.00,Photovoltaic
2020-11-01 04:00:00,10.64,Thermal
2020-11-01 04:00:00,0.93,Wind
2020-11-01 05:00:00,0.64,Geothermal
2020-11-01 05:00:00,3.85,Hydro
2020-11-01 05:00:00,0.00,Photovoltaic
2020-11-01 05:00:00,10.83,Thermal
2020-11-01 05:00:00,0.93,Wind
2020-11-01 06:00:00,0.63,Geothermal
2020-11-01 06:00:00,4.14,Hydro
2020-11-01 06:00:00,0.03,Photovoltaic
2020-11-01 06:00:00,11.08,Thermal
2020-11-01 06:00:00,0.87,Wind
2020-11-01 07:00:00,0.63,Geothermal
2020-11-01 07:00:00,4.52,Hydro
2020-11-01 07:00:00,0.69,Photovoltaic
2020-11-01 07:00:00,10.60,Thermal
2020-11-01 07:00:00,0.78,Wind
2020-11-01 08:00:00,0.63,Geothermal
2020-11-01 08:00:00,4.70,Hydro
2020-11-01 08:00:00,2.17,Photovoltaic
2020-11-01 08:00:00,10.85,Thermal
2020-11-01 08:00:00,0.71,Wind
2020-11-01 09:00:00,0.63,Geothermal
2020-11-01 09:00:00,4.61,Hydro
2020-11-01 09:00:00,4.04,Photovoltaic
2020-11-01 09:00:00,10.73,Thermal
2020-11-01 09:00:00,0.63,Wind
2020-11-01 10:00:00,0.63,Geothermal
2020-11-01 10:00:00,4.59,Hydro
2020-11-01 10:00:00,5.20,Photovoltaic
2020-11-01 10:00:00,10.99,Thermal
2020-11-01 10:00:00,0.50,Wind
2020-11-01 11:00:00,0.63,Geothermal
2020-11-01 11:00:00,4.45,Hydro
2020-11-01 11:00:00,5.62,Photovoltaic
2020-11-01 11:00:00,11.00,Thermal
2020-11-01 11:00:00,0.56,Wind
2020-11-01 12:00:00,0.63,Geothermal
2020-11-01 12:00:00,4.82,Hydro
2020-11-01 12:00:00,5.89,Photovoltaic
2020-11-01 12:00:00,11.32,Thermal
2020-11-01 12:00:00,0.71,Wind
2020-11-01 13:00:00,0.63,Geothermal
2020-11-01 13:00:00,4.20,Hydro
2020-11-01 13:00:00,5.21,Photovoltaic
2020-11-01 13:00:00,11.28,Thermal
2020-11-01 13:00:00,0.89,Wind
2020-11-01 14:00:00,0.63,Geothermal
2020-11-01 14:00:00,4.51,Hydro
2020-11-01 14:00:00,4.68,Photovoltaic
2020-11-01 14:00:00,10.80,Thermal
2020-11-01 14:00:00,1.13,Wind
2020-11-01 15:00:00,0.63,Geothermal
2020-11-01 15:00:00,4.14,Hydro
2020-11-01 15:00:00,2.56,Photovoltaic
2020-11-01 15:00:00,11.76,Thermal
2020-11-01 15:00:00,1.20,Wind
2020-11-01 16:00:00,0.63,Geothermal
2020-11-01 16:00:00,4.56,Hydro
2020-11-01 16:00:00,0.57,Photovoltaic
2020-11-01 16:00:00,12.90,Thermal
2020-11-01 16:00:00,1.52,Wind
2020-11-01 17:00:00,0.64,Geothermal
2020-11-01 17:00:00,5.64,Hydro
2020-11-01 17:00:00,0.01,Photovoltaic
2020-11-01 17:00:00,14.18,Thermal
2020-11-01 17:00:00,1.87,Wind
2020-11-01 18:00:00,0.64,Geothermal
2020-11-01 18:00:00,6.18,Hydro
