Date,Energy Balance [GWh],Energy Source
2020-12-01 00:00:00,0.65,Geothermal
2020-12-01 00:00:00,1.78,Hydro
2020-12-01 00:00:00,0.00,Photovoltaic
2020-12-01 00:00:00,18.94,Thermal
2020-12-01 00:00:00,1.44,Wind
2020-12-01 01:00:00,0.65,Geothermal
2020-12-01 01:00:00,1.72,Hydro
2020-12-01 01:00:00,0.00,Photovoltaic
2020-12-01 01:00:00,17.56,Thermal
2020-12-01 01:00:00,1.47,Wind
2020-12-01 02:00:00,0.65,Geothermal
2020-12-01 02:00:00,1.66,Hydro
2020-12-01 02:00:00,0.00,Photovoltaic
2020-12-01 02:00:00,17.05,Thermal
2020-12-01 02:00:00,1.35,Wind
2020-12-01 03:00:00,0.65,Geothermal
2020-12-01 03:00:00,1.63,Hydro
2020-12-01 03:00:00,0.00,Photovoltaic
2020-12-01 03:00:00,16.59,Thermal
2020-12-01 03:00:00,1.15,Wind
2020-12-01 04:00:00,0.65,Geothermal
2020-12-01 04:00:00,1.62,Hydro
2020-12-01 04:00:00,0.00,Photovoltaic
2020-12-01 04:00:00,16.93,Thermal
2020-12-01 04:00:00,1.05,Wind
2020-12-01 05:00:00,0.65,Geothermal
2020-12-01 05:00:00,1.66,Hydro
2020-12-01 05:00:00,0.00,Photovoltaic
2020-12-01 05:00:00,18.25,Thermal
2020-12-01 05:00:00,0.98,Wind
2020-12-01 06:00:00,0.65,Geothermal
2020-12-01 06:00:00,2.69,Hydro
2020-12-01 06:00:00,0.00,Photovoltaic
2020-12-01 06:00:00,22.82,Thermal
2020-12-01 06:00:00,0.88,Wind
2020-12-01 07:00:00,0.65,Geothermal
2020-12-01 07:00:00,4.53,Hydro
2020-12-01 07:00:00,0.21,Photovoltaic
2020-12-01 07:00:00,25.59,Thermal
2020-12-01 07:00:00,0.72,Wind
2020-12-01 08:00:00,0.65,Geothermal
2020-12-01 08:00:00,7.07,Hydro
2020-12-01 08:00:00,1.26,Photovoltaic
2020-12-01 08:00:00,26.47,Thermal
2020-12-01 08:00:00,0.63,Wind
2020-12-01 09:00:00,0.65,Geothermal
2020-12-01 09:00:00,7.04,Hydro
2020-12-01 09:00:00,2.29,Photovoltaic
2020-12-01 09:00:00,27.18,Thermal
2020-12-01 09:00:00,0.59,Wind
2020-12-01 10:00:00,0.65,Geothermal
2020-12-01 10:00:00,5.66,Hydro
2020-12-01 10:00:00,3.49,Photovoltaic
2020-12-01 10:00:00,27.92,Thermal
2020-12-01 10:00:00,0.68,Wind
2020-12-01 11:00:00,0.65,Geothermal
2020-12-01 11:00:00,4.91,Hydro
2020-12-01 11:00:00,3.66,Photovoltaic
2020-12-01 11:00:00,28.54,Thermal
2020-12-01 11:00:00,0.90,Wind
2020-12-01 12:00:00,0.65,Geothermal
