Date,Energy Balance [GWh],Energy Source
2020-02-01 00:00:00,0.66,Geothermal
2020-02-01 00:00:00,2.38,Hydro
2020-02-01 00:00:00,0.00,Photovoltaic
2020-02-01 00:00:00,16.97,Thermal
2020-02-01 00:00:00,1.51,Wind
2020-02-01 01:00:00,0.66,Geothermal
2020-02-01 01:00:00,2.24,Hydro
2020-02-01 01:00:00,0.00,Photovoltaic
2020-02-01 01:00:00,15.41,Thermal
2020-02-01 01:00:00,1.40,Wind
2020-02-01 02:00:00,0.66,Geothermal
2020-02-01 02:00:00,2.16,Hydro
2020-02-01 02:00:00,0.00,Photovoltaic
2020-02-01 02:00:00,14.97,Thermal
2020-02-01 02:00:00,1.23,Wind
2020-02-01 03:00:00,0.66,Geothermal
2020-02-01 03:00:00,1.88,Hydro
2020-02-01 03:00:00,0.00,Photovoltaic
2020-02-01 03:00:00,15.25,Thermal
2020-02-01 03:00:00,1.15,Wind
2020-02-01 04:00:00,0.66,Geothermal
2020-02-01 04:00:00,1.71,Hydro
2020-02-01 04:00:00,0.00,Photovoltaic
2020-02-01 04:00:00,15.99,Thermal
2020-02-01 04:00:00,1.04,Wind
2020-02-01 05:00:00,0.66,Geothermal
2020-02-01 05:00:00,1.79,Hydro
2020-02-01 05:00:00,0.00,Photovoltaic
2020-02-01 05:00:00,16.56,Thermal
2020-02-01 05:00:00,0.91,Wind
2020-02-01 06:00:00,0.66,Geothermal
2020-02-01 06:00:00,2.14,Hydro
2020-02-01 06:00:00,0.00,Photovoltaic
2020-02-01 06:00:00,18.96,Thermal
2020-02-01 06:00:00,0.77,Wind
2020-02-01 07:00:00,0.66,Geothermal
2020-02-01 07:00:00,3.33,Hydro
2020-02-01 07:00:00,0.14,Photovoltaic
2020-02-01 07:00:00,20.16,Thermal
2020-02-01 07:00:00,0.70,Wind
2020-02-01 08:00:00,0.66,Geothermal
2020-02-01 08:00:00,4.74,Hydro
2020-02-01 08:00:00,1.01,Photovoltaic
2020-02-01 08:00:00,20.66,Thermal
2020-02-01 08:00:00,0.64,Wind
2020-02-01 09:00:00,0.66,Geothermal
2020-02-01 09:00:00,4.92,Hydro
2020-02-01 09:00:00,2.18,Photovoltaic
2020-02-01 09:00:00,20.74,Thermal
2020-02-01 09:00:00,0.63,Wind
2020-02-01 10:00:00,0.66,Geothermal
2020-02-01 10:00:00,3.86,Hydro
2020-02-01 10:00:00,2.98,Photovoltaic
2020-02-01 10:00:00,21.14,Thermal
2020-02-01 10:00:00,0.78,Wind
2020-02-01 11:00:00,0.66,Geothermal
2020-02-01 11:00:00,3.23,Hydro
2020-02-01 11:00:00,3.53,Photovoltaic
2020-02-01 11:00:00,21.20,Thermal
2020-02-01 11:00:00,0.99,Wind
2020-02-01 12:00:00,0.66,Geothermal
2020-02-01 12:00:00,2.92,Hydro
2020-02-01 12:00:00,4.00,Photovoltaic
2020-02-01 12:00:00,20.46,Thermal
2020-02-01 12:00:00,1.22,Wind
2020-02-01 13:00:00,0.66,Geothermal
2020-02-01 13:00:00,2.56,Hydro
2020-02-01 13:00:00,3.93,Photovoltaic
2020-02-01 13:00:00,19.83,Thermal
2020-02-01 13:00:00,1.45,Wind
2020-02-01 14:00:00,0.66,Geothermal
2020-02-01 14:00:00,2.53,Hydro
2020-02-01 14:00:00,3.31,Photovoltaic
2020-02-01 14:00:00,20.11,Thermal
2020-02-01 14:00:00,1.70,Wind
2020-02-01 15:00:00,0.66,Geothermal
2020-02-01 15:00:00,2.82,Hydro
2020-02-01 15:00:00,1.70,Photovoltaic
2020-02-01 15:00:00,20.87,Thermal
2020-02-01 15:00:00,1.88,Wind
2020-02-01 16:00:00,0.66,Geothermal
2020-02-01 16:00:00,3.42,Hydro
2020-02-01 16:00:00,0.47,Photovoltaic
2020-02-01 16:00:00,21.25,Thermal
2020-02-01 16:00:00,1.88,Wind
2020-02-01 17:00:00,0.66,Geothermal
2020-02-01 17:00:00,4.28,Hydro
2020-02-01 17:00:00,0.01,Photovoltaic
2020-02-01 17:00:00,22.06,Thermal
2020-02-01 17:00:00,1.96,Wind
2020-02-01 18:00:00,0.66,Geothermal
2020-02-01 18:00:00,5.49,Hydro
2020-02-01 18:00:00,0.00,Photovoltaic
2020-02-01 18:00:00,21.97,Thermal
2020-02-01 18:00:00,2.10,Wind
2020-02-01 19:00:00,0.66,Geothermal
2020-02-01 19:00:00,5.62,Hydro
2020-02-01 19:00:00,0.00,Photovoltaic
2020-02-01 19:00:00,21.46,Thermal
2020-02-01 19:00:00,2.35,Wind
2020-02-01 20:00:00,0.66,Geothermal
2020-02-01 20:00:00,4.38,Hydro
2020-02-01 20:00:00,0.00,Photovoltaic
2020-02-01 20:00:00,20.98,Thermal
2020-02-01 20:00:00,2.50,Wind
2020-02-01 21:00:00,0.66,Geothermal
2020-02-01 21:00:00,3.25,Hydro
2020-02-01 21:00:00,0.00,Photovoltaic
2020-02-01 21:00:00,19.65,Thermal
2020-02-01 21:00:00,2.45,Wind
2020-02-01 22:00:00,0.66,Geothermal
2020-02-01 22:00:00,2.55,Hydro
2020-02-01 22:00:00,0.00,Photovoltaic
2020-02-01 22:00:00,18.68,Thermal
2020-02-01 22:00:00,2.48,Wind
2020-02-01 23:00:00,0.66,Geothermal
2020-02-01 23:00:00,2.20,Hydro
