Date,Energy Balance [GWh],Energy Source
2020-04-01 00:00:00,0.67,Geothermal
2020-04-01 00:00:00,3.04,Hydro
2020-04-01 00:00:00,0.00,Photovoltaic
2020-04-01 00:00:00,12.84,Thermal
2020-04-01 00:00:00,3.48,Wind
2020-04-01 01:00:00,0.67,Geothermal
2020-04-01 01:00:00,2.79,Hydro
2020-04-01 01:00:00,0.00,Photovoltaic
2020-04-01 01:00:00,12.62,Thermal
2020-04-01 01:00:00,3.43,Wind
2020-04-01 02:00:00,0.67,Geothermal
2020-04-01 02:00:00,2.56,Hydro
2020-04-01 02:00:00,0.00,Photovoltaic
2020-04-01 02:00:00,12.24,Thermal
2020-04-01 02:00:00,3.47,Wind
2020-04-01 03:00:00,0.67,Geothermal
2020-04-01 03:00:00,2.49,Hydro
2020-04-01 03:00:00,0.00,Photovoltaic
2020-04-01 03:00:00,12.26,Thermal
2020-04-01 03:00:00,3.57,Wind
2020-04-01 04:00:00,0.67,Geothermal
2020-04-01 04:00:00,2.65,Hydro
2020-04-01 04:00:00,0.00,Photovoltaic
2020-04-01 04:00:00,12.38,Thermal
2020-04-01 04:00:00,4.04,Wind
2020-04-01 05:00:00,0.67,Geothermal
2020-04-01 05:00:00,2.82,Hydro
2020-04-01 05:00:00,0.00,Photovoltaic
2020-04-01 05:00:00,12.83,Thermal
2020-04-01 05:00:00,4.27,Wind
2020-04-01 06:00:00,0.67,Geothermal
2020-04-01 06:00:00,3.42,Hydro
2020-04-01 06:00:00,0.00,Photovoltaic
2020-04-01 06:00:00,13.98,Thermal
2020-04-01 06:00:00,4.35,Wind
2020-04-01 07:00:00,0.67,Geothermal
2020-04-01 07:00:00,4.30,Hydro
2020-04-01 07:00:00,0.39,Photovoltaic
2020-04-01 07:00:00,15.44,Thermal
2020-04-01 07:00:00,4.10,Wind
2020-04-01 08:00:00,0.67,Geothermal
2020-04-01 08:00:00,5.21,Hydro
2020-04-01 08:00:00,2.40,Photovoltaic
2020-04-01 08:00:00,15.38,Thermal
2020-04-01 08:00:00,4.35,Wind
2020-04-01 09:00:00,0.67,Geothermal
2020-04-01 09:00:00,4.49,Hydro
2020-04-01 09:00:00,5.28,Photovoltaic
2020-04-01 09:00:00,14.20,Thermal
2020-04-01 09:00:00,4.94,Wind
2020-04-01 10:00:00,0.67,Geothermal
2020-04-01 10:00:00,3.28,Hydro
2020-04-01 10:00:00,7.77,Photovoltaic
2020-04-01 10:00:00,12.52,Thermal
2020-04-01 10:00:00,4.82,Wind
2020-04-01 11:00:00,0.67,Geothermal
2020-04-01 11:00:00,2.82,Hydro
2020-04-01 11:00:00,9.01,Photovoltaic
2020-04-01 11:00:00,12.41,Thermal
2020-04-01 11:00:00,4.04,Wind
2020-04-01 12:00:00,0.67,Geothermal
2020-04-01 12:00:00,2.76,Hydro
2020-04-01 12:00:00,9.66,Photovoltaic
2020-04-01 12:00:00,12.73,Thermal
2020-04-01 12:00:00,3.43,Wind
2020-04-01 13:00:00,0.67,Geothermal
2020-04-01 13:00:00,2.65,Hydro
2020-04-01 13:00:00,9.79,Photovoltaic
2020-04-01 13:00:00,12.10,Thermal
2020-04-01 13:00:00,3.42,Wind
2020-04-01 14:00:00,0.67,Geothermal
2020-04-01 14:00:00,2.77,Hydro
2020-04-01 14:00:00,9.59,Photovoltaic
2020-04-01 14:00:00,11.52,Thermal
2020-04-01 14:00:00,3.43,Wind
2020-04-01 15:00:00,0.67,Geothermal
2020-04-01 15:00:00,2.52,Hydro
2020-04-01 15:00:00,9.16,Photovoltaic
2020-04-01 15:00:00,11.45,Thermal
2020-04-01 15:00:00,3.20,Wind
2020-04-01 16:00:00,0.67,Geothermal
2020-04-01 16:00:00,3.01,Hydro
2020-04-01 16:00:00,7.83,Photovoltaic
2020-04-01 16:00:00,11.86,Thermal
2020-04-01 16:00:00,3.04,Wind
2020-04-01 17:00:00,0.67,Geothermal
2020-04-01 17:00:00,3.76,Hydro
2020-04-01 17:00:00,5.08,Photovoltaic
2020-04-01 17:00:00,12.52,Thermal
2020-04-01 17:00:00,3.37,Wind
2020-04-01 18:00:00,0.67,Geothermal
2020-04-01 18:00:00,5.39,Hydro
2020-04-01 18:00:00,1.68,Photovoltaic
2020-04-01 18:00:00,13.48,Thermal
2020-04-01 18:00:00,4.29,Wind
2020-04-01 19:00:00,0.67,Geothermal
2020-04-01 19:00:00,7.72,Hydro
2020-04-01 19:00:00,0.09,Photovoltaic
2020-04-01 19:00:00,15.06,Thermal
2020-04-01 19:00:00,4.04,Wind
2020-04-01 20:00:00,0.67,Geothermal
2020-04-01 20:00:00,9.13,Hydro
2020-04-01 20:00:00,0.00,Photovoltaic
2020-04-01 20:00:00,15.67,Thermal
2020-04-01 20:00:00,3.76,Wind
