Date,Energy Balance [GWh],Energy Source
2020-05-01 00:00:00,0.66,Geothermal
2020-05-01 00:00:00,6.32,Hydro
2020-05-01 00:00:00,0.00,Photovoltaic
2020-05-01 00:00:00,11.25,Thermal
2020-05-01 00:00:00,4.36,Wind
2020-05-01 01:00:00,0.66,Geothermal
2020-05-01 01:00:00,5.68,Hydro
2020-05-01 01:00:00,0.00,Photovoltaic
2020-05-01 01:00:00,10.43,Thermal
2020-05-01 01:00:00,4.41,Wind
2020-05-01 02:00:00,0.66,Geothermal
2020-05-01 02:00:00,5.52,Hydro
2020-05-01 02:00:00,0.00,Photovoltaic
2020-05-01 02:00:00,9.81,Thermal
2020-05-01 02:00:00,4.57,Wind
2020-05-01 03:00:00,0.66,Geothermal
2020-05-01 03:00:00,4.91,Hydro
2020-05-01 03:00:00,0.00,Photovoltaic
2020-05-01 03:00:00,9.87,Thermal
2020-05-01 03:00:00,4.37,Wind
2020-05-01 04:00:00,0.66,Geothermal
2020-05-01 04:00:00,4.92,Hydro
2020-05-01 04:00:00,0.00,Photovoltaic
2020-05-01 04:00:00,10.08,Thermal
2020-05-01 04:00:00,4.24,Wind
2020-05-01 05:00:00,0.66,Geothermal
2020-05-01 05:00:00,5.01,Hydro
2020-05-01 05:00:00,0.00,Photovoltaic
2020-05-01 05:00:00,9.99,Thermal
2020-05-01 05:00:00,3.89,Wind
2020-05-01 06:00:00,0.66,Geothermal
2020-05-01 06:00:00,5.16,Hydro
2020-05-01 06:00:00,0.20,Photovoltaic
2020-05-01 06:00:00,9.65,Thermal
2020-05-01 06:00:00,3.75,Wind
2020-05-01 07:00:00,0.66,Geothermal
2020-05-01 07:00:00,5.14,Hydro
2020-05-01 07:00:00,1.59,Photovoltaic
2020-05-01 07:00:00,9.38,Thermal
2020-05-01 07:00:00,3.83,Wind
2020-05-01 08:00:00,0.66,Geothermal
2020-05-01 08:00:00,5.12,Hydro
2020-05-01 08:00:00,3.58,Photovoltaic
2020-05-01 08:00:00,9.37,Thermal
2020-05-01 08:00:00,3.20,Wind
2020-05-01 09:00:00,0.66,Geothermal
2020-05-01 09:00:00,5.00,Hydro
2020-05-01 09:00:00,5.07,Photovoltaic
