Date,Energy Balance [GWh],Energy Source
2020-08-01 00:00:00,0.62,Geothermal
2020-08-01 00:00:00,4.81,Hydro
2020-08-01 00:00:00,0.00,Photovoltaic
2020-08-01 00:00:00,21.44,Thermal
2020-08-01 00:00:00,0.85,Wind
2020-08-01 01:00:00,0.62,Geothermal
2020-08-01 01:00:00,4.08,Hydro
2020-08-01 01:00:00,0.00,Photovoltaic
2020-08-01 01:00:00,20.86,Thermal
2020-08-01 01:00:00,1.17,Wind
2020-08-01 02:00:00,0.62,Geothermal
2020-08-01 02:00:00,3.79,Hydro
2020-08-01 02:00:00,0.00,Photovoltaic
2020-08-01 02:00:00,19.77,Thermal
2020-08-01 02:00:00,1.40,Wind
2020-08-01 03:00:00,0.63,Geothermal
2020-08-01 03:00:00,3.61,Hydro
2020-08-01 03:00:00,0.00,Photovoltaic
2020-08-01 03:00:00,18.77,Thermal
2020-08-01 03:00:00,1.39,Wind
2020-08-01 04:00:00,0.63,Geothermal
2020-08-01 04:00:00,3.57,Hydro
2020-08-01 04:00:00,0.00,Photovoltaic
2020-08-01 04:00:00,17.70,Thermal
2020-08-01 04:00:00,1.21,Wind
2020-08-01 05:00:00,0.61,Geothermal
2020-08-01 05:00:00,3.67,Hydro
2020-08-01 05:00:00,0.00,Photovoltaic
2020-08-01 05:00:00,18.61,Thermal
2020-08-01 05:00:00,1.15,Wind
2020-08-01 06:00:00,0.60,Geothermal
2020-08-01 06:00:00,3.67,Hydro
2020-08-01 06:00:00,0.18,Photovoltaic
2020-08-01 06:00:00,18.74,Thermal
2020-08-01 06:00:00,1.12,Wind
2020-08-01 07:00:00,0.60,Geothermal
2020-08-01 07:00:00,3.96,Hydro
2020-08-01 07:00:00,1.44,Photovoltaic
2020-08-01 07:00:00,18.92,Thermal
2020-08-01 07:00:00,1.05,Wind
2020-08-01 08:00:00,0.60,Geothermal
2020-08-01 08:00:00,4.35,Hydro
2020-08-01 08:00:00,3.99,Photovoltaic
2020-08-01 08:00:00,19.35,Thermal
2020-08-01 08:00:00,0.80,Wind
2020-08-01 09:00:00,0.59,Geothermal
2020-08-01 09:00:00,4.64,Hydro
2020-08-01 09:00:00,6.44,Photovoltaic
2020-08-01 09:00:00,19.59,Thermal
2020-08-01 09:00:00,0.75,Wind
2020-08-01 10:00:00,0.59,Geothermal
2020-08-01 10:00:00,4.92,Hydro
2020-08-01 10:00:00,8.29,Photovoltaic
2020-08-01 10:00:00,19.23,Thermal
2020-08-01 10:00:00,0.90,Wind
2020-08-01 11:00:00,0.59,Geothermal
2020-08-01 11:00:00,5.37,Hydro
2020-08-01 11:00:00,9.52,Photovoltaic
2020-08-01 11:00:00,18.93,Thermal
2020-08-01 11:00:00,1.13,Wind
2020-08-01 12:00:00,0.59,Geothermal
2020-08-01 12:00:00,5.66,Hydro
2020-08-01 12:00:00,10.16,Photovoltaic
2020-08-01 12:00:00,18.72,Thermal
2020-08-01 12:00:00,1.43,Wind
2020-08-01 13:00:00,0.59,Geothermal
2020-08-01 13:00:00,5.19,Hydro
2020-08-01 13:00:00,10.22,Photovoltaic
2020-08-01 13:00:00,18.63,Thermal
2020-08-01 13:00:00,1.90,Wind
2020-08-01 14:00:00,0.59,Geothermal
2020-08-01 14:00:00,4.46,Hydro
2020-08-01 14:00:00,9.82,Photovoltaic
2020-08-01 14:00:00,18.73,Thermal
2020-08-01 14:00:00,2.43,Wind
2020-08-01 15:00:00,0.59,Geothermal
2020-08-01 15:00:00,4.21,Hydro
2020-08-01 15:00:00,8.90,Photovoltaic
2020-08-01 15:00:00,18.56,Thermal
2020-08-01 15:00:00,3.06,Wind
2020-08-01 16:00:00,0.59,Geothermal
2020-08-01 16:00:00,4.35,Hydro
2020-08-01 16:00:00,7.34,Photovoltaic
2020-08-01 16:00:00,19.06,Thermal
2020-08-01 16:00:00,2.80,Wind
2020-08-01 17:00:00,0.59,Geothermal
2020-08-01 17:00:00,5.39,Hydro
2020-08-01 17:00:00,5.07,Photovoltaic
2020-08-01 17:00:00,20.85,Thermal
2020-08-01 17:00:00,2.30,Wind
2020-08-01 18:00:00,0.60,Geothermal
2020-08-01 18:00:00,7.67,Hydro
2020-08-01 18:00:00,2.59,Photovoltaic
2020-08-01 18:00:00,21.15,Thermal
2020-08-01 18:00:00,2.10,Wind
2020-08-01 19:00:00,0.61,Geothermal
2020-08-01 19:00:00,8.28,Hydro
2020-08-01 19:00:00,0.60,Photovoltaic
2020-08-01 19:00:00,21.91,Thermal
2020-08-01 19:00:00,1.74,Wind
2020-08-01 20:00:00,0.63,Geothermal
2020-08-01 20:00:00,8.12,Hydro
2020-08-01 20:00:00,0.01,Photovoltaic
2020-08-01 20:00:00,22.17,Thermal
2020-08-01 20:00:00,1.79,Wind
2020-08-01 21:00:00,0.63,Geothermal
2020-08-01 21:00:00,7.78,Hydro
2020-08-01 21:00:00,0.00,Photovoltaic
2020-08-01 21:00:00,22.31,Thermal
2020-08-01 21:00:00,1.60,Wind
2020-08-01 22:00:00,0.63,Geothermal
2020-08-01 22:00:00,6.70,Hydro
2020-08-01 22:00:00,0.00,Photovoltaic
2020-08-01 22:00:00,21.11,Thermal
2020-08-01 22:00:00,1.62,Wind
2020-08-01 23:00:00,0.63,Geothermal
2020-08-01 23:00:00,5.29,Hydro
2020-08-01 23:00:00,0.00,Photovoltaic
2020-08-01 23:00:00,19.85,Thermal
2020-08-01 23:00:00,1.59,Wind
2020-08-02 00:00:00,0.63,Geothermal
2020-08-02 00:00:00,5.14,Hydro
2020-08-02 00:00:00,0.00,Photovoltaic
2020-08-02 00:00:00,17.88,Thermal
2020-08-02 00:00:00,1.52,Wind
2020-08-02 01:00:00,0.63,Geothermal
2020-08-02 01:00:00,4.29,Hydro
2020-08-02 01:00:00,0.00,Photovoltaic
2020-08-02 01:00:00,16.85,Thermal
2020-08-02 01:00:00,1.51,Wind
2020-08-02 02:00:00,0.63,Geothermal
2020-08-02 02:00:00,3.85,Hydro
2020-08-02 02:00:00,0.00,Photovoltaic
2020-08-02 02:00:00,16.04,Thermal
2020-08-02 02:00:00,1.58,Wind
2020-08-02 03:00:00,0.63,Geothermal
2020-08-02 03:00:00,3.76,Hydro
2020-08-02 03:00:00,0.00,Photovoltaic
2020-08-02 03:00:00,15.71,Thermal
2020-08-02 03:00:00,1.54,Wind
2020-08-02 04:00:00,0.63,Geothermal
2020-08-02 04:00:00,3.58,Hydro
2020-08-02 04:00:00,0.00,Photovoltaic
2020-08-02 04:00:00,15.73,Thermal
2020-08-02 04:00:00,1.44,Wind
2020-08-02 05:00:00,0.63,Geothermal
2020-08-02 05:00:00,3.64,Hydro
2020-08-02 05:00:00,0.00,Photovoltaic
2020-08-02 05:00:00,15.48,Thermal
2020-08-02 05:00:00,1.34,Wind
2020-08-02 06:00:00,0.63,Geothermal
2020-08-02 06:00:00,3.59,Hydro
2020-08-02 06:00:00,0.14,Photovoltaic
2020-08-02 06:00:00,15.62,Thermal
2020-08-02 06:00:00,1.10,Wind
2020-08-02 07:00:00,0.63,Geothermal
2020-08-02 07:00:00,3.76,Hydro
2020-08-02 07:00:00,1.22,Photovoltaic
2020-08-02 07:00:00,15.75,Thermal
2020-08-02 07:00:00,0.76,Wind
2020-08-02 08:00:00,0.62,Geothermal
2020-08-02 08:00:00,4.22,Hydro
2020-08-02 08:00:00,3.49,Photovoltaic
2020-08-02 08:00:00,15.57,Thermal
2020-08-02 08:00:00,0.56,Wind
2020-08-02 09:00:00,0.62,Geothermal
2020-08-02 09:00:00,4.32,Hydro
2020-08-02 09:00:00,5.71,Photovoltaic
2020-08-02 09:00:00,14.98,Thermal
2020-08-02 09:00:00,0.48,Wind
2020-08-02 10:00:00,0.62,Geothermal
2020-08-02 10:00:00,4.27,Hydro
2020-08-02 10:00:00,7.68,Photovoltaic
2020-08-02 10:00:00,14.69,Thermal
2020-08-02 10:00:00,0.53,Wind
2020-08-02 11:00:00,0.62,Geothermal
2020-08-02 11:00:00,4.31,Hydro
2020-08-02 11:00:00,8.68,Photovoltaic
2020-08-02 11:00:00,14.70,Thermal
2020-08-02 11:00:00,0.65,Wind
2020-08-02 12:00:00,0.62,Geothermal
2020-08-02 12:00:00,4.02,Hydro
2020-08-02 12:00:00,9.59,Photovoltaic
2020-08-02 12:00:00,14.36,Thermal
2020-08-02 12:00:00,0.79,Wind
2020-08-02 13:00:00,0.62,Geothermal
2020-08-02 13:00:00,3.64,Hydro
2020-08-02 13:00:00,10.12,Photovoltaic
2020-08-02 13:00:00,14.06,Thermal
2020-08-02 13:00:00,1.01,Wind
2020-08-02 14:00:00,0.62,Geothermal
2020-08-02 14:00:00,3.63,Hydro
2020-08-02 14:00:00,9.72,Photovoltaic
2020-08-02 14:00:00,13.72,Thermal
2020-08-02 14:00:00,1.35,Wind
2020-08-02 15:00:00,0.61,Geothermal
2020-08-02 15:00:00,3.65,Hydro
2020-08-02 15:00:00,8.96,Photovoltaic
2020-08-02 15:00:00,14.40,Thermal
2020-08-02 15:00:00,1.68,Wind
2020-08-02 16:00:00,0.60,Geothermal
2020-08-02 16:00:00,3.91,Hydro
2020-08-02 16:00:00,7.49,Photovoltaic
2020-08-02 16:00:00,15.39,Thermal
2020-08-02 16:00:00,1.93,Wind
2020-08-02 17:00:00,0.60,Geothermal
2020-08-02 17:00:00,4.20,Hydro
2020-08-02 17:00:00,4.91,Photovoltaic
2020-08-02 17:00:00,16.73,Thermal
2020-08-02 17:00:00,1.62,Wind
2020-08-02 18:00:00,0.60,Geothermal
2020-08-02 18:00:00,5.79,Hydro
2020-08-02 18:00:00,2.26,Photovoltaic
2020-08-02 18:00:00,17.94,Thermal
2020-08-02 18:00:00,1.27,Wind
2020-08-02 19:00:00,0.60,Geothermal
2020-08-02 19:00:00,6.88,Hydro
2020-08-02 19:00:00,0.56,Photovoltaic
2020-08-02 19:00:00,19.21,Thermal
2020-08-02 19:00:00,0.74,Wind
2020-08-02 20:00:00,0.60,Geothermal
2020-08-02 20:00:00,7.48,Hydro
2020-08-02 20:00:00,0.01,Photovoltaic
2020-08-02 20:00:00,19.78,Thermal
2020-08-02 20:00:00,0.54,Wind
2020-08-02 21:00:00,0.60,Geothermal
2020-08-02 21:00:00,8.59,Hydro
2020-08-02 21:00:00,0.00,Photovoltaic
2020-08-02 21:00:00,20.26,Thermal
2020-08-02 21:00:00,0.50,Wind
2020-08-02 22:00:00,0.60,Geothermal
2020-08-02 22:00:00,7.16,Hydro
2020-08-02 22:00:00,0.00,Photovoltaic
2020-08-02 22:00:00,19.91,Thermal
2020-08-02 22:00:00,0.54,Wind
2020-08-02 23:00:00,0.60,Geothermal
2020-08-02 23:00:00,5.58,Hydro
2020-08-02 23:00:00,0.00,Photovoltaic
2020-08-02 23:00:00,18.82,Thermal
2020-08-02 23:00:00,0.80,Wind
2020-08-03 00:00:00,0.60,Geothermal
2020-08-03 00:00:00,4.31,Hydro
2020-08-03 00:00:00,0.00,Photovoltaic
2020-08-03 00:00:00,17.52,Thermal
2020-08-03 00:00:00,1.03,Wind
2020-08-03 01:00:00,0.60,Geothermal
2020-08-03 01:00:00,3.93,Hydro
2020-08-03 01:00:00,0.00,Photovoltaic
2020-08-03 01:00:00,16.18,Thermal
2020-08-03 01:00:00,1.25,Wind
2020-08-03 02:00:00,0.60,Geothermal
2020-08-03 02:00:00,3.95,Hydro
2020-08-03 02:00:00,0.00,Photovoltaic
2020-08-03 02:00:00,15.50,Thermal
2020-08-03 02:00:00,1.50,Wind
2020-08-03 03:00:00,0.60,Geothermal
2020-08-03 03:00:00,3.88,Hydro
2020-08-03 03:00:00,0.00,Photovoltaic
2020-08-03 03:00:00,14.95,Thermal
2020-08-03 03:00:00,1.79,Wind
2020-08-03 04:00:00,0.60,Geothermal
2020-08-03 04:00:00,3.93,Hydro
2020-08-03 04:00:00,0.00,Photovoltaic
2020-08-03 04:00:00,15.50,Thermal
2020-08-03 04:00:00,1.89,Wind
2020-08-03 05:00:00,0.60,Geothermal
2020-08-03 05:00:00,3.94,Hydro
2020-08-03 05:00:00,0.00,Photovoltaic
2020-08-03 05:00:00,16.18,Thermal
2020-08-03 05:00:00,1.92,Wind
2020-08-03 06:00:00,0.59,Geothermal
2020-08-03 06:00:00,4.50,Hydro
2020-08-03 06:00:00,0.09,Photovoltaic
2020-08-03 06:00:00,18.85,Thermal
2020-08-03 06:00:00,1.85,Wind
2020-08-03 07:00:00,0.59,Geothermal
2020-08-03 07:00:00,5.40,Hydro
2020-08-03 07:00:00,1.00,Photovoltaic
2020-08-03 07:00:00,20.97,Thermal
2020-08-03 07:00:00,1.55,Wind
2020-08-03 08:00:00,0.59,Geothermal
2020-08-03 08:00:00,7.38,Hydro
2020-08-03 08:00:00,3.28,Photovoltaic
2020-08-03 08:00:00,22.48,Thermal
2020-08-03 08:00:00,1.50,Wind
2020-08-03 09:00:00,0.58,Geothermal
2020-08-03 09:00:00,7.19,Hydro
2020-08-03 09:00:00,4.66,Photovoltaic
2020-08-03 09:00:00,23.43,Thermal
2020-08-03 09:00:00,1.54,Wind
2020-08-03 10:00:00,0.59,Geothermal
2020-08-03 10:00:00,7.02,Hydro
2020-08-03 10:00:00,5.87,Photovoltaic
2020-08-03 10:00:00,23.71,Thermal
2020-08-03 10:00:00,1.76,Wind
2020-08-03 11:00:00,0.59,Geothermal
2020-08-03 11:00:00,7.70,Hydro
2020-08-03 11:00:00,6.51,Photovoltaic
2020-08-03 11:00:00,23.32,Thermal
2020-08-03 11:00:00,1.95,Wind
2020-08-03 12:00:00,0.59,Geothermal
2020-08-03 12:00:00,7.84,Hydro
2020-08-03 12:00:00,6.47,Photovoltaic
2020-08-03 12:00:00,23.44,Thermal
2020-08-03 12:00:00,2.39,Wind
2020-08-03 13:00:00,0.60,Geothermal
