Date,Energy Balance [GWh],Energy Source
2021-07-01 00:00:00,0.64,Geothermal
2021-07-01 00:00:00,4.85,Hydro
2021-07-01 00:00:00,18.36,Thermal
2021-07-01 00:00:00,3.55,Wind
2021-07-01 01:00:00,0.64,Geothermal
2021-07-01 01:00:00,4.77,Hydro
2021-07-01 01:00:00,16.30,Thermal
2021-07-01 01:00:00,3.86,Wind
2021-07-01 02:00:00,0.64,Geothermal
2021-07-01 02:00:00,4.63,Hydro
2021-07-01 02:00:00,14.94,Thermal
2021-07-01 02:00:00,4.02,Wind
2021-07-01 03:00:00,0.64,Geothermal
2021-07-01 03:00:00,4.51,Hydro
2021-07-01 03:00:00,14.01,Thermal
2021-07-01 03:00:00,3.96,Wind
2021-07-01 04:00:00,0.64,Geothermal
2021-07-01 04:00:00,4.77,Hydro
2021-07-01 04:00:00,14.07,Thermal
2021-07-01 04:00:00,3.64,Wind
2021-07-01 05:00:00,0.63,Geothermal
2021-07-01 05:00:00,5.35,Hydro
2021-07-01 05:00:00,14.49,Thermal
2021-07-01 05:00:00,3.39,Wind
2021-07-01 06:00:00,0.62,Geothermal
2021-07-01 06:00:00,5.87,Hydro
2021-07-01 06:00:00,16.74,Thermal
2021-07-01 06:00:00,3.05,Wind
2021-07-01 07:00:00,0.63,Geothermal
2021-07-01 07:00:00,7.08,Hydro
2021-07-01 07:00:00,20.76,Thermal
2021-07-01 07:00:00,2.59,Wind
2021-07-01 08:00:00,0.63,Geothermal
2021-07-01 08:00:00,8.49,Hydro
2021-07-01 08:00:00,21.75,Thermal
2021-07-01 08:00:00,2.34,Wind
2021-07-01 09:00:00,0.63,Geothermal
2021-07-01 09:00:00,8.47,Hydro
2021-07-01 09:00:00,21.47,Thermal
2021-07-01 09:00:00,2.23,Wind
2021-07-01 10:00:00,0.63,Geothermal
2021-07-01 10:00:00,7.78,Hydro
2021-07-01 10:00:00,20.58,Thermal
2021-07-01 10:00:00,2.59,Wind
2021-07-01 11:00:00,0.63,Geothermal
2021-07-01 11:00:00,7.06,Hydro
2021-07-01 11:00:00,19.76,Thermal
2021-07-01 11:00:00,3.25,Wind
2021-07-01 12:00:00,0.63,Geothermal
2021-07-01 12:00:00,5.68,Hydro
2021-07-01 12:00:00,19.06,Thermal
2021-07-01 12:00:00,3.96,Wind
2021-07-01 13:00:00,0.63,Geothermal
2021-07-01 13:00:00,5.36,Hydro
2021-07-01 13:00:00,19.16,Thermal
2021-07-01 13:00:00,4.45,Wind
2021-07-01 14:00:00,0.63,Geothermal
2021-07-01 14:00:00,5.78,Hydro
2021-07-01 14:00:00,20.08,Thermal
2021-07-01 14:00:00,4.42,Wind
2021-07-01 15:00:00,0.63,Geothermal
2021-07-01 15:00:00,6.47,Hydro
2021-07-01 15:00:00,20.86,Thermal
2021-07-01 15:00:00,4.36,Wind
2021-07-01 16:00:00,0.64,Geothermal
2021-07-01 16:00:00,7.30,Hydro
2021-07-01 16:00:00,20.99,Thermal
2021-07-01 16:00:00,4.72,Wind
2021-07-01 17:00:00,0.64,Geothermal
2021-07-01 17:00:00,7.80,Hydro
2021-07-01 17:00:00,22.40,Thermal
2021-07-01 17:00:00,4.72,Wind
2021-07-01 18:00:00,0.65,Geothermal
2021-07-01 18:00:00,8.72,Hydro
2021-07-01 18:00:00,21.98,Thermal
2021-07-01 18:00:00,4.53,Wind
2021-07-01 19:00:00,0.65,Geothermal
2021-07-01 19:00:00,9.57,Hydro
2021-07-01 19:00:00,23.31,Thermal
2021-07-01 19:00:00,3.95,Wind
