Date,Energy Balance [GWh],Energy Source
2021-06-01 00:00:00,0.60,Geothermal
2021-06-01 00:00:00,5.53,Hydro
2021-06-01 00:00:00,0.00,Photovoltaic
2021-06-01 00:00:00,11.46,Thermal
2021-06-01 00:00:00,1.28,Wind
2021-06-01 01:00:00,0.60,Geothermal
2021-06-01 01:00:00,5.15,Hydro
2021-06-01 01:00:00,0.00,Photovoltaic
2021-06-01 01:00:00,10.06,Thermal
2021-06-01 01:00:00,1.44,Wind
2021-06-01 02:00:00,0.60,Geothermal
2021-06-01 02:00:00,4.69,Hydro
2021-06-01 02:00:00,0.00,Photovoltaic
2021-06-01 02:00:00,9.70,Thermal
2021-06-01 02:00:00,1.45,Wind
2021-06-01 03:00:00,0.60,Geothermal
2021-06-01 03:00:00,4.61,Hydro
2021-06-01 03:00:00,0.00,Photovoltaic
2021-06-01 03:00:00,9.56,Thermal
2021-06-01 03:00:00,1.64,Wind
2021-06-01 04:00:00,0.59,Geothermal
2021-06-01 04:00:00,4.66,Hydro
2021-06-01 04:00:00,0.00,Photovoltaic
2021-06-01 04:00:00,9.40,Thermal
2021-06-01 04:00:00,1.99,Wind
2021-06-01 05:00:00,0.59,Geothermal
2021-06-01 05:00:00,4.94,Hydro
2021-06-01 05:00:00,0.01,Photovoltaic
2021-06-01 05:00:00,10.23,Thermal
2021-06-01 05:00:00,2.07,Wind
2021-06-01 06:00:00,0.60,Geothermal
2021-06-01 06:00:00,6.98,Hydro
2021-06-01 06:00:00,0.56,Photovoltaic
2021-06-01 06:00:00,12.52,Thermal
2021-06-01 06:00:00,1.93,Wind
2021-06-01 07:00:00,0.60,Geothermal
2021-06-01 07:00:00,9.35,Hydro
2021-06-01 07:00:00,2.60,Photovoltaic
2021-06-01 07:00:00,13.48,Thermal
2021-06-01 07:00:00,1.57,Wind
2021-06-01 08:00:00,0.60,Geothermal
2021-06-01 08:00:00,10.06,Hydro
2021-06-01 08:00:00,5.40,Photovoltaic
2021-06-01 08:00:00,13.84,Thermal
2021-06-01 08:00:00,1.36,Wind
2021-06-01 09:00:00,0.60,Geothermal
2021-06-01 09:00:00,7.90,Hydro
2021-06-01 09:00:00,7.59,Photovoltaic
2021-06-01 09:00:00,13.37,Thermal
2021-06-01 09:00:00,1.43,Wind
2021-06-01 10:00:00,0.60,Geothermal
2021-06-01 10:00:00,6.18,Hydro
2021-06-01 10:00:00,9.24,Photovoltaic
2021-06-01 10:00:00,11.90,Thermal
2021-06-01 10:00:00,1.68,Wind
2021-06-01 11:00:00,0.60,Geothermal
2021-06-01 11:00:00,5.95,Hydro
2021-06-01 11:00:00,10.11,Photovoltaic
2021-06-01 11:00:00,10.47,Thermal
2021-06-01 11:00:00,2.07,Wind
2021-06-01 12:00:00,0.60,Geothermal
2021-06-01 12:00:00,4.79,Hydro
2021-06-01 12:00:00,10.80,Photovoltaic
2021-06-01 12:00:00,10.00,Thermal
2021-06-01 12:00:00,2.23,Wind
2021-06-01 13:00:00,0.60,Geothermal
2021-06-01 13:00:00,4.64,Hydro
2021-06-01 13:00:00,10.87,Photovoltaic
2021-06-01 13:00:00,10.05,Thermal
2021-06-01 13:00:00,2.16,Wind
2021-06-01 14:00:00,0.60,Geothermal
2021-06-01 14:00:00,4.84,Hydro
2021-06-01 14:00:00,10.54,Photovoltaic
2021-06-01 14:00:00,10.74,Thermal
2021-06-01 14:00:00,2.15,Wind
2021-06-01 15:00:00,0.60,Geothermal
2021-06-01 15:00:00,4.97,Hydro
2021-06-01 15:00:00,9.50,Photovoltaic
2021-06-01 15:00:00,11.44,Thermal
2021-06-01 15:00:00,2.10,Wind
2021-06-01 16:00:00,0.60,Geothermal
2021-06-01 16:00:00,5.77,Hydro
2021-06-01 16:00:00,7.96,Photovoltaic
2021-06-01 16:00:00,12.01,Thermal
2021-06-01 16:00:00,1.95,Wind
2021-06-01 17:00:00,0.60,Geothermal
2021-06-01 17:00:00,6.74,Hydro
2021-06-01 17:00:00,5.82,Photovoltaic
2021-06-01 17:00:00,13.35,Thermal
2021-06-01 17:00:00,1.68,Wind
2021-06-01 18:00:00,0.60,Geothermal
2021-06-01 18:00:00,8.06,Hydro
2021-06-01 18:00:00,3.04,Photovoltaic
