Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2021-07-01 00:00:00,37357.00,36943.00,Italy
2021-07-01 00:15:00,36401.00,37246.00,Italy
2021-07-01 00:30:00,36020.00,36638.00,Italy
2021-07-01 00:45:00,35506.00,36031.00,Italy
2021-07-01 01:00:00,34800.00,35446.00,Italy
2021-07-01 01:15:00,34458.00,34907.00,Italy
2021-07-01 01:30:00,34115.00,34437.00,Italy
2021-07-01 01:45:00,33413.00,34050.00,Italy
2021-07-01 02:00:00,33144.00,33735.00,Italy
2021-07-01 02:15:00,33180.00,33472.00,Italy
2021-07-01 02:30:00,32703.00,33240.00,Italy
2021-07-01 02:45:00,32493.00,33025.00,Italy
2021-07-01 03:00:00,32626.00,32829.00,Italy
2021-07-01 03:15:00,32341.00,32659.00,Italy
2021-07-01 03:30:00,31971.00,32522.00,Italy
2021-07-01 03:45:00,32159.00,32424.00,Italy
2021-07-01 04:00:00,32228.00,32362.00,Italy
2021-07-01 04:15:00,31971.00,32329.00,Italy
2021-07-01 04:30:00,32068.00,32321.00,Italy
2021-07-01 04:45:00,32285.00,32342.00,Italy
2021-07-01 05:00:00,32656.00,32433.00,Italy
2021-07-01 05:15:00,32264.00,32643.00,Italy
2021-07-01 05:30:00,32400.00,33023.00,Italy
2021-07-01 05:45:00,32676.00,33613.00,Italy
2021-07-01 06:00:00,34032.00,34423.00,Italy
2021-07-01 06:15:00,35317.00,35450.00,Italy
2021-07-01 06:30:00,36574.00,36693.00,Italy
2021-07-01 06:45:00,37880.00,38141.00,Italy
2021-07-01 07:00:00,39481.00,39733.00,Italy
2021-07-01 07:15:00,41250.00,41399.00,Italy
2021-07-01 07:30:00,42684.00,43069.00,Italy
2021-07-01 07:45:00,43971.00,44679.00,Italy
2021-07-01 08:00:00,45696.00,46192.00,Italy
2021-07-01 08:15:00,46895.00,47581.00,Italy
2021-07-01 08:30:00,47806.00,48817.00,Italy
2021-07-01 08:45:00,48115.00,49877.00,Italy
2021-07-01 09:00:00,49351.00,50756.00,Italy
2021-07-01 09:15:00,49764.00,51456.00,Italy
2021-07-01 09:30:00,49976.00,51978.00,Italy
2021-07-01 09:45:00,50330.00,52334.00,Italy
2021-07-01 10:00:00,50684.00,52572.00,Italy
2021-07-01 10:15:00,50850.00,52751.00,Italy
2021-07-01 10:30:00,50989.00,52930.00,Italy
2021-07-01 10:45:00,51241.00,53146.00,Italy
