Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2021-07-01 00:00:00,37356.00,36943.00,Italy
2021-07-01 00:15:00,36401.00,37246.00,Italy
2021-07-01 00:30:00,36020.00,36638.00,Italy
2021-07-01 00:45:00,35506.00,36031.00,Italy
2021-07-01 01:00:00,34800.00,35446.00,Italy
2021-07-01 01:15:00,34458.00,34907.00,Italy
2021-07-01 01:30:00,34115.00,34437.00,Italy
2021-07-01 01:45:00,33413.00,34050.00,Italy
2021-07-01 02:00:00,33145.00,33735.00,Italy
2021-07-01 02:15:00,33180.00,33472.00,Italy
2021-07-01 02:30:00,32703.00,33240.00,Italy
2021-07-01 02:45:00,32494.00,33025.00,Italy
2021-07-01 03:00:00,32626.00,32829.00,Italy
2021-07-01 03:15:00,32341.00,32659.00,Italy
2021-07-01 03:30:00,31970.00,32522.00,Italy
2021-07-01 03:45:00,32158.00,32424.00,Italy
2021-07-01 04:00:00,32227.00,32362.00,Italy
2021-07-01 04:15:00,31970.00,32329.00,Italy
2021-07-01 04:30:00,32067.00,32321.00,Italy
2021-07-01 04:45:00,32284.00,32342.00,Italy
2021-07-01 05:00:00,32655.00,32433.00,Italy
2021-07-01 05:15:00,32264.00,32643.00,Italy
2021-07-01 05:30:00,32399.00,33023.00,Italy
2021-07-01 05:45:00,32675.00,33614.00,Italy
2021-07-01 06:00:00,34033.00,34424.00,Italy
2021-07-01 06:15:00,35322.00,35451.00,Italy
2021-07-01 06:30:00,36583.00,36694.00,Italy
2021-07-01 06:45:00,37893.00,38142.00,Italy
2021-07-01 07:00:00,39497.00,39733.00,Italy
2021-07-01 07:15:00,41250.00,41398.00,Italy
2021-07-01 07:30:00,42656.00,43066.00,Italy
2021-07-01 07:45:00,43926.00,44674.00,Italy
2021-07-01 08:00:00,45645.00,46185.00,Italy
2021-07-01 08:15:00,46833.00,47571.00,Italy
2021-07-01 08:30:00,47734.00,48805.00,Italy
2021-07-01 08:45:00,48034.00,49863.00,Italy
2021-07-01 09:00:00,49268.00,50741.00,Italy
2021-07-01 09:15:00,49682.00,51441.00,Italy
2021-07-01 09:30:00,49902.00,51964.00,Italy
2021-07-01 09:45:00,50259.00,52321.00,Italy
2021-07-01 10:00:00,50617.00,52560.00,Italy
2021-07-01 10:15:00,50796.00,52740.00,Italy
2021-07-01 10:30:00,50940.00,52920.00,Italy
2021-07-01 10:45:00,51192.00,53137.00,Italy
2021-07-01 11:00:00,51282.00,53347.00,Italy
2021-07-01 11:15:00,51322.00,53485.00,Italy
2021-07-01 11:30:00,51814.00,53485.00,Italy
2021-07-01 11:45:00,51419.00,53307.00,Italy
