Date,Energy Balance [GWh],Energy Source
2021-02-01 00:00:00,0.65,Geothermal
2021-02-01 00:00:00,3.41,Hydro
2021-02-01 00:00:00,0.00,Photovoltaic
2021-02-01 00:00:00,11.96,Thermal
2021-02-01 00:00:00,2.89,Wind
2021-02-01 01:00:00,0.65,Geothermal
2021-02-01 01:00:00,3.10,Hydro
2021-02-01 01:00:00,0.00,Photovoltaic
2021-02-01 01:00:00,11.82,Thermal
2021-02-01 01:00:00,2.92,Wind
2021-02-01 02:00:00,0.65,Geothermal
2021-02-01 02:00:00,3.08,Hydro
2021-02-01 02:00:00,0.00,Photovoltaic
2021-02-01 02:00:00,12.16,Thermal
2021-02-01 02:00:00,2.77,Wind
2021-02-01 03:00:00,0.65,Geothermal
2021-02-01 03:00:00,3.04,Hydro
2021-02-01 03:00:00,0.00,Photovoltaic
2021-02-01 03:00:00,11.95,Thermal
2021-02-01 03:00:00,2.70,Wind
2021-02-01 04:00:00,0.65,Geothermal
2021-02-01 04:00:00,3.05,Hydro
2021-02-01 04:00:00,0.00,Photovoltaic
2021-02-01 04:00:00,11.73,Thermal
2021-02-01 04:00:00,2.65,Wind
2021-02-01 05:00:00,0.65,Geothermal
2021-02-01 05:00:00,3.21,Hydro
2021-02-01 05:00:00,0.00,Photovoltaic
2021-02-01 05:00:00,12.75,Thermal
2021-02-01 05:00:00,2.59,Wind
2021-02-01 06:00:00,0.65,Geothermal
2021-02-01 06:00:00,4.09,Hydro
2021-02-01 06:00:00,0.00,Photovoltaic
2021-02-01 06:00:00,16.77,Thermal
2021-02-01 06:00:00,2.28,Wind
2021-02-01 07:00:00,0.65,Geothermal
2021-02-01 07:00:00,5.95,Hydro
2021-02-01 07:00:00,0.12,Photovoltaic
2021-02-01 07:00:00,21.00,Thermal
2021-02-01 07:00:00,2.12,Wind
2021-02-01 08:00:00,0.65,Geothermal
2021-02-01 08:00:00,8.89,Hydro
2021-02-01 08:00:00,1.08,Photovoltaic
2021-02-01 08:00:00,22.04,Thermal
2021-02-01 08:00:00,1.89,Wind
2021-02-01 09:00:00,0.65,Geothermal
2021-02-01 09:00:00,8.45,Hydro
2021-02-01 09:00:00,2.67,Photovoltaic
2021-02-01 09:00:00,22.44,Thermal
2021-02-01 09:00:00,1.95,Wind
2021-02-01 10:00:00,0.65,Geothermal
2021-02-01 10:00:00,7.18,Hydro
2021-02-01 10:00:00,3.74,Photovoltaic
2021-02-01 10:00:00,21.66,Thermal
2021-02-01 10:00:00,2.11,Wind
2021-02-01 11:00:00,0.65,Geothermal
2021-02-01 11:00:00,6.69,Hydro
2021-02-01 11:00:00,4.33,Photovoltaic
2021-02-01 11:00:00,21.54,Thermal
2021-02-01 11:00:00,2.44,Wind
2021-02-01 12:00:00,0.65,Geothermal
2021-02-01 12:00:00,6.07,Hydro
2021-02-01 12:00:00,3.90,Photovoltaic
2021-02-01 12:00:00,21.53,Thermal
2021-02-01 12:00:00,2.96,Wind
2021-02-01 13:00:00,0.65,Geothermal
2021-02-01 13:00:00,5.63,Hydro
2021-02-01 13:00:00,3.34,Photovoltaic
2021-02-01 13:00:00,21.45,Thermal
2021-02-01 13:00:00,3.25,Wind
2021-02-01 14:00:00,0.65,Geothermal
2021-02-01 14:00:00,6.57,Hydro
2021-02-01 14:00:00,2.95,Photovoltaic
2021-02-01 14:00:00,21.93,Thermal
2021-02-01 14:00:00,3.39,Wind
2021-02-01 15:00:00,0.65,Geothermal
2021-02-01 15:00:00,7.12,Hydro
2021-02-01 15:00:00,1.57,Photovoltaic
2021-02-01 15:00:00,22.57,Thermal
2021-02-01 15:00:00,3.35,Wind
2021-02-01 16:00:00,0.65,Geothermal
2021-02-01 16:00:00,7.17,Hydro
2021-02-01 16:00:00,0.45,Photovoltaic
2021-02-01 16:00:00,23.59,Thermal
2021-02-01 16:00:00,3.01,Wind
2021-02-01 17:00:00,0.65,Geothermal
2021-02-01 17:00:00,8.02,Hydro
2021-02-01 17:00:00,0.01,Photovoltaic
2021-02-01 17:00:00,24.52,Thermal
2021-02-01 17:00:00,2.90,Wind
2021-02-01 18:00:00,0.65,Geothermal
2021-02-01 18:00:00,8.45,Hydro
2021-02-01 18:00:00,0.00,Photovoltaic
2021-02-01 18:00:00,24.23,Thermal
2021-02-01 18:00:00,2.93,Wind
2021-02-01 19:00:00,0.65,Geothermal
2021-02-01 19:00:00,7.94,Hydro
2021-02-01 19:00:00,0.00,Photovoltaic
2021-02-01 19:00:00,23.18,Thermal
2021-02-01 19:00:00,2.89,Wind
2021-02-01 20:00:00,0.65,Geothermal
2021-02-01 20:00:00,7.12,Hydro
2021-02-01 20:00:00,0.00,Photovoltaic
2021-02-01 20:00:00,22.04,Thermal
2021-02-01 20:00:00,2.85,Wind
2021-02-01 21:00:00,0.65,Geothermal
2021-02-01 21:00:00,5.49,Hydro
2021-02-01 21:00:00,0.00,Photovoltaic
2021-02-01 21:00:00,20.65,Thermal
2021-02-01 21:00:00,2.80,Wind
2021-02-01 22:00:00,0.65,Geothermal
2021-02-01 22:00:00,4.22,Hydro
2021-02-01 22:00:00,0.00,Photovoltaic
2021-02-01 22:00:00,18.92,Thermal
2021-02-01 22:00:00,2.57,Wind
2021-02-01 23:00:00,0.65,Geothermal
2021-02-01 23:00:00,3.61,Hydro
2021-02-01 23:00:00,0.00,Photovoltaic
2021-02-01 23:00:00,17.17,Thermal
2021-02-01 23:00:00,2.38,Wind
2021-02-02 00:00:00,0.65,Geothermal
2021-02-02 00:00:00,3.38,Hydro
2021-02-02 00:00:00,0.00,Photovoltaic
2021-02-02 00:00:00,15.64,Thermal
2021-02-02 00:00:00,2.24,Wind
2021-02-02 01:00:00,0.65,Geothermal
2021-02-02 01:00:00,3.28,Hydro
2021-02-02 01:00:00,0.00,Photovoltaic
2021-02-02 01:00:00,15.07,Thermal
2021-02-02 01:00:00,2.07,Wind
2021-02-02 02:00:00,0.65,Geothermal
2021-02-02 02:00:00,3.17,Hydro
2021-02-02 02:00:00,0.00,Photovoltaic
2021-02-02 02:00:00,15.20,Thermal
2021-02-02 02:00:00,1.88,Wind
2021-02-02 03:00:00,0.65,Geothermal
2021-02-02 03:00:00,3.13,Hydro
2021-02-02 03:00:00,0.00,Photovoltaic
