name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Bari,27/04/2021 13:00:00 PM,,sud,0,clear sky,1007,60,292.91,0.0,0.0,172,3.32
Provincia di Genova,27/04/2021 13:00:00 PM,,nord,100,overcast clouds,1007,80,286.59,0.0,0.0,355,2.29
Venice,27/04/2021 13:00:00 PM,,nord,75,broken clouds,1009,62,287.3,0.0,0.0,54,2.92
Catanzaro,27/04/2021 13:00:00 PM,,calabria,97,overcast clouds,1007,64,291.77,0.0,0.0,181,3.08
Valle d'Aosta,27/04/2021 13:00:00 PM,,nord,100,overcast clouds,1001,66,283.12,0.0,0.0,107,1.65
Florence,27/04/2021 13:00:00 PM,,centro_nord,75,broken clouds,1006,63,286.51,0.0,0.0,12,1.85
Provincia di Ancona,27/04/2021 13:00:00 PM,,centro_nord,90,overcast clouds,1008,88,286.11,0.0,0.0,6,3.23
Trieste,27/04/2021 13:00:00 PM,,nord,40,scattered clouds,1009,71,286.78,0.0,0.0,57,2.78
Provincia di Perugia,27/04/2021 13:00:00 PM,,centro_nord,75,broken clouds,1006,67,288.41,0.0,0.0,4,2.47
Milan,27/04/2021 13:00:00 PM,,nord,75,broken clouds,1009,76,285.87,0.0,0.0,87,2.37
Trento,27/04/2021 13:00:00 PM,,nord,90,overcast clouds,1008,87,277.63,0.0,0.0,158,1.04
Province of Turin,27/04/2021 13:00:00 PM,,nord,75,broken clouds,1009,87,284.04,0.0,0.0,130,1.07
Naples,27/04/2021 13:00:00 PM,,sud,40,scattered clouds,1007,60,291.8,0.0,0.0,170,5.49
Sardinia,27/04/2021 13:00:00 PM,,sardegna,20,few clouds,1004,77,293.15,0.0,0.0,254,3.64
Potenza,27/04/2021 13:00:00 PM,,sud,66,broken clouds,1007,49,294.82,0.0,0.0,234,2.53
Rome,27/04/2021 13:00:00 PM,,centro_sud,75,broken clouds,1006,68,293.47,0.0,0.0,168,3.28
Provincia di Campobasso,27/04/2021 13:00:00 PM,,centro_sud,6,clear sky,1005,62,290.0,0.0,0.0,213,3.29
Bologna,27/04/2021 13:00:00 PM,,nord,75,broken clouds,1009,88,285.59,0.0,0.0,75,3.57
L'Aquila,27/04/2021 13:00:00 PM,,centro_sud,38,scattered clouds,1007,46,291.95,0.0,0.0,193,1.47
Province of Palermo,27/04/2021 13:00:00 PM,,sicilia,99,overcast clouds,970,55,295.25,0.0,0.0,334,1.46
Provincia di Campobasso,27/04/2021 14:00:00 PM,,centro_sud,8,clear sky,1005,64,290.36,0.0,0.0,219,2.86
Sardinia,27/04/2021 14:00:00 PM,,sardegna,34,scattered clouds,1005,75,292.51,0.0,0.0,255,4.27
Provincia di Genova,27/04/2021 14:00:00 PM,,nord,100,overcast clouds,1007,79,286.04,0.0,0.0,346,1.84
Venice,27/04/2021 14:00:00 PM,,nord,80,broken clouds,1009,66,286.94,0.0,0.0,42,3.67
