name,date,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
Bari,08/05/2021 12:00:00 PM,sud,0,clear sky,1017,57,292.59,0.0,0,348,5.74,908.06,877.56,143.05,908.06,908.06,908.06
Provincia di Genova,08/05/2021 12:00:00 PM,nord,45,scattered clouds,1019,64,291.22,2.12,0,309,2.48,825.28,820.7,159.36,837.44,837.44,837.44
Venice,08/05/2021 12:00:00 PM,nord,20,few clouds,1021,42,290.66,2.62,0,77,3.8,220.91,2.02,219.25,846.56,846.56,846.56
Catanzaro,08/05/2021 12:00:00 PM,calabria,11,few clouds,1017,67,295.21,0.0,0,267,3.54,914.29,831.36,179.16,925.15,925.15,925.15
Valle d'Aosta,08/05/2021 12:00:00 PM,nord,40,scattered clouds,1019,35,286.79,2.12,0,16,1.16,817.13,768.66,207.09,822.82,822.82,822.82
Florence,08/05/2021 12:00:00 PM,centro_nord,66,broken clouds,1018,53,293.46,0.0,0,355,3.53,815.5,799.6,153.39,855.51,855.51,855.51
Provincia di Ancona,08/05/2021 12:00:00 PM,centro_nord,94,overcast clouds,1020,60,289.66,2.12,0,54,3.21,382.05,114.34,286.17,868.56,868.56,868.56
Trieste,08/05/2021 12:00:00 PM,nord,19,few clouds,1020,36,291.57,2.12,0,53,2.4,358.07,45.43,320.48,854.26,854.26,854.26
Provincia di Perugia,08/05/2021 12:00:00 PM,centro_nord,17,few clouds,1018,51,294.58,2.12,0,355,1.78,866.35,850.35,152.66,870.19,870.19,870.19
Milan,08/05/2021 12:00:00 PM,nord,36,scattered clouds,1021,56,289.98,0.0,0,96,2.94,206.93,1.77,205.5,827.71,827.71,827.71
Trento,08/05/2021 12:00:00 PM,nord,30,scattered clouds,1020,33,290.97,2.12,0,205,1.39,839.06,813.2,179.37,839.66,839.66,839.66
Province of Turin,08/05/2021 12:00:00 PM,nord,48,scattered clouds,1021,56,289.65,0.0,0,101,2.98,489.76,266.95,277.13,823.22,823.22,823.22
Naples,08/05/2021 12:00:00 PM,sud,18,few clouds,1017,48,295.33,0.0,0,219,2.31,895.19,881.53,135.49,895.57,895.57,895.57
Sardinia,08/05/2021 12:00:00 PM,sardegna,3,clear sky,1018,68,294.32,2.12,0,316,3.65,869.5,859.89,148.47,869.52,869.52,869.52
Potenza,08/05/2021 12:00:00 PM,sud,28,scattered clouds,1020,56,293.33,0.0,0,16,2.79,909.84,845.67,173.96,910.17,910.17,910.17
Rome,08/05/2021 12:00:00 PM,centro_sud,13,few clouds,1017,52,296.41,2.12,0,193,0.7,558.81,207.4,383.32,877.16,877.16,877.16
Provincia di Campobasso,08/05/2021 12:00:00 PM,centro_sud,51,broken clouds,1019,66,294.14,2.12,0,72,2.28,879.5,808.13,185.84,895.0,895.0,895.0
Bologna,08/05/2021 12:00:00 PM,nord,80,broken clouds,1021,63,289.57,0.0,0,108,2.0,213.94,1.97,212.32,850.24,850.24,850.24
L'Aquila,08/05/2021 12:00:00 PM,centro_sud,47,scattered clouds,1019,51,292.65,0.0,0,109,1.4,840.28,686.3,258.37,885.36,885.36,885.36
Province of Palermo,08/05/2021 12:00:00 PM,sicilia,0,clear sky,987,52,294.52,0.0,0,3,3.78,915.51,855.81,165.98,915.51,915.51,915.51
Provincia di Campobasso,08/05/2021 13:00:00 PM,centro_sud,53,broken clouds,1019,67,294.53,2.12,0,56,2.24,908.63,721.79,255.24,952.12,952.12,952.12
Sardinia,08/05/2021 13:00:00 PM,sardegna,3,clear sky,1018,74,294.26,2.12,0,318,3.92,949.6,858.9,172.92,949.61,949.61,949.61
Provincia di Genova,08/05/2021 13:00:00 PM,nord,47,scattered clouds,1019,67,291.89,2.12,0,301,2.5,887.81,786.41,201.7,911.52,911.52,911.52
Venice,08/05/2021 13:00:00 PM,nord,0,clear sky,1021,39,291.32,2.62,0,97,2.92,235.33,2.38,233.25,907.96,907.96,907.96
Catanzaro,08/05/2021 13:00:00 PM,calabria,11,few clouds,1017,73,294.97,0.0,0,269,3.51,971.58,888.57,148.4,976.67,976.67,976.67
Naples,08/05/2021 13:00:00 PM,sud,20,few clouds,1017,46,295.65,0.0,0,224,2.83,954.41,903.56,131.95,954.68,954.68,954.68
