name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Valle d'Aosta,26/04/2021 22:20:06 PM,26/04/2021 20:30 PM,nord,100,overcast clouds,1004,77,7.08,0,0,338,0.89
Provincia di Genova,26/04/2021 22:25:06 PM,26/04/2021 20:30 PM,nord,100,light rain,1010,80,13.63,{'1h': 0.49},0,41,0.89
Province of Turin,26/04/2021 22:25:06 PM,26/04/2021 20:30 PM,nord,100,overcast clouds,1008,94,9.4,0,0,248,0.45
Milan,26/04/2021 22:20:46 PM,26/04/2021 20:30 PM,nord,75,broken clouds,1012,87,12.38,0,0,110,3.6
Trento,26/04/2021 22:25:07 PM,26/04/2021 20:30 PM,nord,90,fog,1012,93,7.83,0,0,190,2.06
Venice,26/04/2021 22:21:20 PM,26/04/2021 20:30 PM,nord,0,clear sky,1013,76,12.53,0,0,180,1.54
Bologna,26/04/2021 22:25:07 PM,26/04/2021 20:30 PM,nord,75,light rain,1012,82,13.04,{'1h': 0.18},0,50,2.06
Trieste,26/04/2021 22:25:07 PM,26/04/2021 20:30 PM,nord,75,broken clouds,1013,76,11.41,0,0,120,1.03
Provincia di Perugia,26/04/2021 22:25:08 PM,26/04/2021 20:30 PM,centro_nord,99,light rain,1010,55,15.76,{'1h': 0.32},0,240,3.6
Florence,26/04/2021 22:23:28 PM,26/04/2021 20:30 PM,centro_nord,40,scattered clouds,1010,59,15.41,0,0,0,1.54
Provincia di Ancona,26/04/2021 22:20:09 PM,26/04/2021 20:30 PM,centro_nord,75,broken clouds,1011,88,13.37,0,0,80,3.09
L'Aquila,26/04/2021 22:20:09 PM,26/04/2021 20:30 PM,centro_sud,100,overcast clouds,1013,65,11.32,0,0,230,1.54
Rome,26/04/2021 22:23:42 PM,26/04/2021 20:30 PM,centro_sud,0,clear sky,1009,51,15.68,0,0,60,2.06
L'Aquila,26/04/2021 22:20:09 PM,26/04/2021 20:30 PM,centro_sud,100,overcast clouds,1013,65,11.32,0,0,230,1.54
Rome,26/04/2021 22:23:42 PM,26/04/2021 20:30 PM,centro_sud,0,clear sky,1009,51,15.68,0,0,60,2.06
