name,date,region,cross_join,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
Bari,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Florence,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Milan,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Naples,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Rome,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trento,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Venice,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bari,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Florence,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Milan,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Naples,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Rome,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trento,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Venice,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bari,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Florence,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Milan,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Naples,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Rome,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trento,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Venice,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 20:45 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bari,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Florence,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Milan,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Naples,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Rome,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trento,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Venice,26/04/2021 21:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:15 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bari,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Florence,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Milan,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Naples,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Rome,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trento,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
Venice,26/04/2021 22:00:00 PM,HERE_NOT_YET_IMPLEMENTED,26/04/2021 21:30 PM,0.0,0.0,0.0,0.0,0.0,0.0
