name,date,region,cross_join,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
Catanzaro,30/04/2021 23:00:00 PM,calabria,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,30/04/2021 23:00:00 PM,sardegna,,0.0,0.0,0.0,0.0,0.0,0.0
Naples,30/04/2021 23:00:00 PM,sud,,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,30/04/2021 23:00:00 PM,sud,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,30/04/2021 23:00:00 PM,centro_sud,,0.0,0.0,0.0,0.0,0.0,0.0
Trento,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Rome,30/04/2021 23:00:00 PM,centro_sud,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,30/04/2021 23:00:00 PM,centro_nord,,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Milan,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,30/04/2021 23:00:00 PM,centro_nord,,0.0,0.0,0.0,0.0,0.0,0.0
Valle d'Aosta,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,30/04/2021 23:00:00 PM,sicilia,,0.0,0.0,0.0,0.0,0.0,0.0
Florence,30/04/2021 23:00:00 PM,centro_nord,,0.0,0.0,0.0,0.0,0.0,0.0
Venice,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Bari,30/04/2021 23:00:00 PM,sud,,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,30/04/2021 23:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,30/04/2021 23:00:00 PM,centro_sud,,0.0,0.0,0.0,0.0,0.0,0.0
Potenza,30/04/2021 22:00:00 PM,sud,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Perugia,30/04/2021 22:00:00 PM,centro_nord,,0.0,0.0,0.0,0.0,0.0,0.0
Catanzaro,30/04/2021 22:00:00 PM,calabria,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Genova,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Campobasso,30/04/2021 22:00:00 PM,centro_sud,,0.0,0.0,0.0,0.0,0.0,0.0
Florence,30/04/2021 22:00:00 PM,centro_nord,,0.0,0.0,0.0,0.0,0.0,0.0
Provincia di Ancona,30/04/2021 22:00:00 PM,centro_nord,,0.0,0.0,0.0,0.0,0.0,0.0
Province of Palermo,30/04/2021 22:00:00 PM,sicilia,,0.0,0.0,0.0,0.0,0.0,0.0
Province of Turin,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Bari,30/04/2021 22:00:00 PM,sud,,0.0,0.0,0.0,0.0,0.0,0.0
Venice,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Sardinia,30/04/2021 22:00:00 PM,sardegna,,0.0,0.0,0.0,0.0,0.0,0.0
Naples,30/04/2021 22:00:00 PM,sud,,0.0,0.0,0.0,0.0,0.0,0.0
Milan,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Trento,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
Rome,30/04/2021 22:00:00 PM,centro_sud,,0.0,0.0,0.0,0.0,0.0,0.0
L'Aquila,30/04/2021 22:00:00 PM,centro_sud,,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,30/04/2021 22:00:00 PM,nord,,0.0,0.0,0.0,0.0,0.0,0.0
