Date,DayName,Month,Holiday
2019-01-01,Tuesday,January,yes
2019-01-02,Wednesday,January,no
2019-01-03,Thursday,January,no
2019-01-04,Friday,January,no
2019-01-05,Saturday,January,yes
2019-01-06,Sunday,January,yes
2019-01-07,Monday,January,no
2019-01-08,Tuesday,January,no
2019-01-09,Wednesday,January,no
2019-01-10,Thursday,January,yes
2019-01-11,Friday,January,no
2019-01-12,Saturday,January,half
2019-01-13,Sunday,January,yes
2019-01-14,Monday,January,no
2019-01-15,Tuesday,January,no
2019-01-16,Wednesday,January,no
2019-01-17,Thursday,January,no
2019-01-18,Friday,January,no
2019-01-19,Saturday,January,half
2019-01-20,Sunday,January,yes
2019-01-21,Monday,January,no
2019-01-22,Tuesday,January,no
2019-01-23,Wednesday,January,no
2019-01-24,Thursday,January,no
2019-01-25,Friday,January,no
2019-01-26,Saturday,January,half
2019-01-27,Sunday,January,yes
2019-01-28,Monday,January,no
2019-01-29,Tuesday,January,no
2019-01-30,Wednesday,January,no
2019-01-31,Thursday,January,no
2019-02-01,Friday,February,no
2019-02-02,Saturday,February,half
2019-02-03,Sunday,February,yes
2019-02-04,Monday,February,no
2019-02-05,Tuesday,February,no
2019-02-06,Wednesday,February,yes
2019-02-07,Thursday,February,no
2019-02-08,Friday,February,no
2019-02-09,Saturday,February,half
2019-02-10,Sunday,February,yes
2019-02-11,Monday,February,no
2019-02-12,Tuesday,February,no
2019-02-13,Wednesday,February,no
2019-02-14,Thursday,February,no
2019-02-15,Friday,February,no
2019-02-16,Saturday,February,half
2019-02-17,Sunday,February,yes
2019-02-18,Monday,February,no
2019-02-19,Tuesday,February,no
2019-02-20,Wednesday,February,no
2019-02-21,Thursday,February,no
2019-02-22,Friday,February,no
2019-02-23,Saturday,February,half
2019-02-24,Sunday,February,yes
2019-02-25,Monday,February,no
2019-02-26,Tuesday,February,no
2019-02-27,Wednesday,February,no
2019-02-28,Thursday,February,no
2019-03-01,Friday,March,no
2019-03-02,Saturday,March,half
2019-03-03,Sunday,March,yes
2019-03-04,Monday,March,no
2019-03-05,Tuesday,March,no
2019-03-06,Wednesday,March,no
2019-03-07,Thursday,March,no
2019-03-08,Friday,March,no
2019-03-09,Saturday,March,half
2019-03-10,Sunday,March,yes
2019-03-11,Monday,March,no
2019-03-12,Tuesday,March,no
2019-03-13,Wednesday,March,no
2019-03-14,Thursday,March,no
2019-03-15,Friday,March,no
2019-03-16,Saturday,March,half
2019-03-17,Sunday,March,yes
2019-03-18,Monday,March,no
2019-03-19,Tuesday,March,no
2019-03-20,Wednesday,March,no
2019-03-21,Thursday,March,no
2019-03-22,Friday,March,no
2019-03-23,Saturday,March,half
2019-03-24,Sunday,March,yes
2019-03-25,Monday,March,no
2019-03-26,Tuesday,March,no
2019-03-27,Wednesday,March,no
2019-03-28,Thursday,March,no
2019-03-29,Friday,March,no
2019-03-30,Saturday,March,half
2019-03-31,Sunday,March,yes
2019-04-01,Monday,April,no
2019-04-02,Tuesday,April,no
2019-04-03,Wednesday,April,no
2019-04-04,Thursday,April,no
2019-04-05,Friday,April,no
2019-04-06,Saturday,April,half
2019-04-07,Sunday,April,yes
2019-04-08,Monday,April,no
2019-04-09,Tuesday,April,no
2019-04-10,Wednesday,April,no
2019-04-11,Thursday,April,no
2019-04-12,Friday,April,no
2019-04-13,Saturday,April,half
2019-04-14,Sunday,April,yes
2019-04-15,Monday,April,no
2019-04-16,Tuesday,April,no
2019-04-17,Wednesday,April,no
2019-04-18,Thursday,April,no
2019-04-19,Friday,April,no
2019-04-20,Saturday,April,half
2019-04-21,Sunday,April,yes
2019-04-22,Monday,April,no
2019-04-23,Tuesday,April,no
2019-04-24,Wednesday,April,no
2019-04-25,Thursday,April,no
2019-04-26,Friday,April,no
2019-04-27,Saturday,April,half
2019-04-28,Sunday,April,yes
2019-04-29,Monday,April,no
2019-04-30,Tuesday,April,no
2019-05-01,Wednesday,May,no
2019-05-02,Thursday,May,no
2019-05-03,Friday,May,no
2019-05-04,Saturday,May,half
2019-05-05,Sunday,May,yes
2019-05-06,Monday,May,no
2019-05-07,Tuesday,May,no
2019-05-08,Wednesday,May,no
2019-05-09,Thursday,May,no
2019-05-10,Friday,May,no
2019-05-11,Saturday,May,half
2019-05-12,Sunday,May,yes
2019-05-13,Monday,May,no
2019-05-14,Tuesday,May,no
2019-05-15,Wednesday,May,no
2019-05-16,Thursday,May,no
2019-05-17,Friday,May,no
2019-05-18,Saturday,May,half
2019-05-19,Sunday,May,yes
2019-05-20,Monday,May,no
2019-05-21,Tuesday,May,no
2019-05-22,Wednesday,May,no
2019-05-23,Thursday,May,no
2019-05-24,Friday,May,no
2019-05-25,Saturday,May,half
2019-05-26,Sunday,May,yes
2019-05-27,Monday,May,no
2019-05-28,Tuesday,May,no
2019-05-29,Wednesday,May,no
2019-05-30,Thursday,May,no
2019-05-31,Friday,May,no
2019-06-01,Saturday,June,yes
2019-06-02,Sunday,June,yes
2019-06-03,Monday,June,no
2019-06-04,Tuesday,June,no
2019-06-05,Wednesday,June,no
2019-06-06,Thursday,June,no
2019-06-07,Friday,June,no
2019-06-08,Saturday,June,half
2019-06-09,Sunday,June,yes
2019-06-10,Monday,June,no
2019-06-11,Tuesday,June,no
2019-06-12,Wednesday,June,no
2019-06-13,Thursday,June,no
2019-06-14,Friday,June,no
2019-06-15,Saturday,June,half
2019-06-16,Sunday,June,yes
2019-06-17,Monday,June,no
2019-06-18,Tuesday,June,no
2019-06-19,Wednesday,June,no
2019-06-20,Thursday,June,no
2019-06-21,Friday,June,no
2019-06-22,Saturday,June,half
2019-06-23,Sunday,June,yes
2019-06-24,Monday,June,no
2019-06-25,Tuesday,June,no
2019-06-26,Wednesday,June,no
2019-06-27,Thursday,June,no
2019-06-28,Friday,June,no
2019-06-29,Saturday,June,half
2019-06-30,Sunday,June,yes
2019-07-01,Monday,July,no
2019-07-02,Tuesday,July,no
2019-07-03,Wednesday,July,no
2019-07-04,Thursday,July,no
2019-07-05,Friday,July,no
2019-07-06,Saturday,July,half
2019-07-07,Sunday,July,yes
2019-07-08,Monday,July,no
2019-07-09,Tuesday,July,no
2019-07-10,Wednesday,July,no
2019-07-11,Thursday,July,no
2019-07-12,Friday,July,no
2019-07-13,Saturday,July,half
2019-07-14,Sunday,July,yes
2019-07-15,Monday,July,no
2019-07-16,Tuesday,July,no
2019-07-17,Wednesday,July,no
2019-07-18,Thursday,July,no
2019-07-19,Friday,July,no
2019-07-20,Saturday,July,half
2019-07-21,Sunday,July,yes
2019-07-22,Monday,July,no
2019-07-23,Tuesday,July,no
2019-07-24,Wednesday,July,no
2019-07-25,Thursday,July,no
2019-07-26,Friday,July,no
2019-07-27,Saturday,July,half
2019-07-28,Sunday,July,yes
2019-07-29,Monday,July,no
2019-07-30,Tuesday,July,no
2019-07-31,Wednesday,July,no
2019-08-01,Thursday,August,no
2019-08-02,Friday,August,no
2019-08-03,Saturday,August,half
2019-08-04,Sunday,August,yes
2019-08-05,Monday,August,no
2019-08-06,Tuesday,August,no
2019-08-07,Wednesday,August,no
2019-08-08,Thursday,August,no
2019-08-09,Friday,August,no
2019-08-10,Saturday,August,half
2019-08-11,Sunday,August,yes
2019-08-12,Monday,August,yes
2019-08-13,Tuesday,August,no
2019-08-14,Wednesday,August,no
2019-08-15,Thursday,August,no
2019-08-16,Friday,August,no
2019-08-17,Saturday,August,half
2019-08-18,Sunday,August,yes
2019-08-19,Monday,August,no
2019-08-20,Tuesday,August,no
2019-08-21,Wednesday,August,no
2019-08-22,Thursday,August,no
2019-08-23,Friday,August,no
2019-08-24,Saturday,August,half
2019-08-25,Sunday,August,yes
2019-08-26,Monday,August,no
2019-08-27,Tuesday,August,no
2019-08-28,Wednesday,August,no
2019-08-29,Thursday,August,no
2019-08-30,Friday,August,no
2019-08-31,Saturday,August,half
2019-09-01,Sunday,September,yes
2019-09-02,Monday,September,no
2019-09-03,Tuesday,September,no
2019-09-04,Wednesday,September,no
2019-09-05,Thursday,September,no
2019-09-06,Friday,September,no
2019-09-07,Saturday,September,half
2019-09-08,Sunday,September,yes
