Unnamed: 0,name,date_x,Date,region_x,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,date_y,region_y,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2,RenewableGeneration_Hydro
120,Venice,2021-04-27 15:00:08,2021-04-22 13:00:00,nord,75,broken clouds,1009,67,15.47,0,0,90,4.12,27/04/2021 13:00:00 PM,nord,209.57,1.8,208.11,838.27,899.65,116.78,2.54
121,Valle d'Aosta,2021-04-27 15:00:10,2021-04-22 13:00:00,nord,97,overcast clouds,1006,48,11.93,0,0,100,7.2,27/04/2021 13:00:00 PM,nord,217.78,3.09,215.23,867.03,922.51,112.28,2.54
122,Province of Turin,2021-04-27 15:00:11,2021-04-22 13:00:00,nord,75,broken clouds,1009,76,12.21,0,0,30,2.06,27/04/2021 13:00:00 PM,nord,217.35,2.73,215.08,869.39,916.28,115.0,2.54
123,Bologna,2021-04-27 15:00:12,2021-04-22 13:00:00,nord,75,light rain,1009,82,13.52,0.13,0,60,2.57,27/04/2021 13:00:00 PM,nord,213.31,2.01,211.66,853.22,904.64,117.13,2.54
124,Trento,2021-04-27 15:00:12,2021-04-22 13:00:00,nord,90,fog,1008,81,2.89,0,0,200,3.09,27/04/2021 13:00:00 PM,nord,210.85,2.56,208.78,843.42,909.7,113.7,2.54
125,Provincia di Genova,2021-04-27 15:00:15,2021-04-22 13:00:00,nord,100,overcast clouds,1007,79,13.93,0,0,51,3.58,27/04/2021 13:00:00 PM,nord,216.61,2.42,214.6,866.45,911.83,116.29,2.54
126,Milan,2021-04-27 14:58:06,2021-04-22 13:00:00,nord,75,broken clouds,1009,72,14.33,0,0,40,1.54,27/04/2021 13:00:00 PM,nord,213.34,2.0,211.69,853.35,904.6,117.16,2.54
127,Trieste,2021-04-27 15:00:15,2021-04-22 13:00:00,nord,75,broken clouds,1008,67,13.68,0,0,40,5.66,27/04/2021 13:00:00 PM,nord,209.69,1.96,208.12,829.93,899.49,115.55,2.54
128,Provincia di Perugia,2021-04-27 15:00:16,2021-04-22 13:00:00,centro_nord,90,moderate rain,1007,94,12.34,0,0,360,4.12,27/04/2021 13:00:00 PM,centro_nord,234.71,2.88,232.32,862.77,909.36,116.71,2.54
129,Florence,2021-04-27 15:00:17,2021-04-22 13:00:00,centro_nord,75,broken clouds,1006,63,15.85,0,0,70,5.14,27/04/2021 13:00:00 PM,centro_nord,215.41,2.15,213.63,861.65,907.72,117.2,2.54
130,Provincia di Ancona,2021-04-27 15:00:17,2021-04-22 13:00:00,centro_nord,75,broken clouds,1008,82,12.3,0,0,350,4.12,27/04/2021 13:00:00 PM,centro_nord,213.38,2.05,211.69,853.53,905.23,116.94,2.54
