name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Valle d'Aosta,01/05/2021 00:00:00 AM,,nord,94,overcast clouds,1009,85,278.73,0.0,0.0,106,0.41
Province of Palermo,01/05/2021 00:00:00 AM,,sicilia,99,overcast clouds,997,49,292.54,0.0,0.0,191,2.99
Venice,01/05/2021 00:00:00 AM,,nord,58,broken clouds,1010,86,288.92,0.31,0.0,54,3.83
Sardinia,01/05/2021 00:00:00 AM,,sardegna,100,overcast clouds,1009,82,289.01,0.0,0.0,82,1.56
Milan,01/05/2021 00:00:00 AM,,nord,74,light rain,1010,84,288.26,0.15,0.0,255,1.58
Provincia di Ancona,01/05/2021 00:00:00 AM,,centro_nord,89,overcast clouds,1011,75,289.35,0.0,0.0,198,2.15
Naples,01/05/2021 00:00:00 AM,,sud,50,scattered clouds,1010,57,292.51,0.0,0.0,55,0.9
Potenza,01/05/2021 00:00:00 AM,,sud,100,overcast clouds,1011,47,289.82,0.0,0.0,189,2.33
Florence,01/05/2021 00:00:00 AM,,centro_nord,76,broken clouds,1011,92,288.52,0.0,0.0,24,0.21
Catanzaro,01/05/2021 00:00:00 AM,,calabria,96,overcast clouds,1012,55,293.24,0.0,0.0,105,0.4
L'Aquila,01/05/2021 00:00:00 AM,,centro_sud,100,overcast clouds,1014,82,287.69,0.0,0.0,203,1.11
Trieste,01/05/2021 00:00:00 AM,,nord,72,broken clouds,1011,91,288.34,0.24,0.0,84,1.56
Provincia di Genova,01/05/2021 00:00:00 AM,,nord,94,overcast clouds,1011,92,284.11,0.11,0.0,97,0.93
Rome,01/05/2021 00:00:00 AM,,centro_sud,57,broken clouds,1010,70,290.64,0.0,0.0,66,0.77
Province of Turin,01/05/2021 00:00:00 AM,,nord,98,overcast clouds,1010,93,283.28,0.0,0.0,317,0.99
Bari,01/05/2021 00:00:00 AM,,sud,56,broken clouds,1011,61,292.6,0.0,0.0,181,4.16
Provincia di Campobasso,01/05/2021 00:00:00 AM,,centro_sud,91,overcast clouds,1010,65,289.35,0.0,0.0,228,2.45
Trento,01/05/2021 00:00:00 AM,,nord,95,overcast clouds,1011,91,283.41,0.12,0.0,61,0.34
Bologna,01/05/2021 00:00:00 AM,,nord,60,broken clouds,1009,72,288.05,0.0,0.0,234,2.62
Provincia di Perugia,01/05/2021 00:00:00 AM,,centro_nord,59,broken clouds,1010,75,290.03,0.0,0.0,120,1.12
Trieste,01/05/2021 01:00:00 AM,,nord,82,broken clouds,1012,92,287.7,0.24,0.0,116,1.54
Bologna,01/05/2021 01:00:00 AM,,nord,80,broken clouds,1010,79,287.08,0.0,0.0,246,2.52
Potenza,01/05/2021 01:00:00 AM,,sud,100,overcast clouds,1012,41,289.32,0.0,0.0,192,2.68
Trento,01/05/2021 01:00:00 AM,,nord,96,overcast clouds,1012,91,284.7,0.12,0.0,106,0.31
Provincia di Perugia,01/05/2021 01:00:00 AM,,centro_nord,70,broken clouds,1011,80,288.66,0.0,0.0,123,0.73
Province of Palermo,01/05/2021 01:00:00 AM,,sicilia,99,overcast clouds,1004,42,293.38,0.0,0.0,158,3.16
Sardinia,01/05/2021 01:00:00 AM,,sardegna,100,overcast clouds,1010,81,288.37,0.0,0.0,200,1.11
Valle d'Aosta,01/05/2021 01:00:00 AM,,nord,95,overcast clouds,1010,90,277.32,0.0,0.0,356,0.88
L'Aquila,01/05/2021 01:00:00 AM,,centro_sud,100,overcast clouds,1013,80,287.0,0.0,0.0,208,1.34
Catanzaro,01/05/2021 01:00:00 AM,,calabria,98,overcast clouds,1012,52,293.34,0.0,0.0,283,0.6
Rome,01/05/2021 01:00:00 AM,,centro_sud,77,broken clouds,1011,74,289.75,0.0,0.0,84,0.83
Provincia di Genova,01/05/2021 01:00:00 AM,,nord,94,overcast clouds,1011,93,282.8,0.11,0.0,62,1.67
Province of Turin,01/05/2021 01:00:00 AM,,nord,98,overcast clouds,1010,91,282.55,0.0,0.0,310,1.07
