Date,Renewable Generation [GWh],Energy Source
2021-01-01 00:00:00,1.47,Biomass
2021-01-01 00:00:00,0.62,Geothermal
2021-01-01 00:00:00,3.65,Hydro
2021-01-01 00:00:00,0.00,Photovoltaic
2021-01-01 00:00:00,2.65,Wind
2021-01-01 01:00:00,1.44,Biomass
2021-01-01 01:00:00,0.62,Geothermal
2021-01-01 01:00:00,3.29,Hydro
2021-01-01 01:00:00,0.00,Photovoltaic
2021-01-01 01:00:00,2.81,Wind
2021-01-01 02:00:00,1.40,Biomass
2021-01-01 02:00:00,0.62,Geothermal
2021-01-01 02:00:00,3.07,Hydro
2021-01-01 02:00:00,0.00,Photovoltaic
2021-01-01 02:00:00,2.68,Wind
2021-01-01 03:00:00,1.27,Biomass
2021-01-01 03:00:00,0.62,Geothermal
2021-01-01 03:00:00,2.90,Hydro
2021-01-01 03:00:00,0.00,Photovoltaic
2021-01-01 03:00:00,2.69,Wind
2021-01-01 04:00:00,1.26,Biomass
2021-01-01 04:00:00,0.62,Geothermal
2021-01-01 04:00:00,2.89,Hydro
2021-01-01 04:00:00,0.00,Photovoltaic
2021-01-01 04:00:00,2.66,Wind
2021-01-01 05:00:00,1.29,Biomass
2021-01-01 05:00:00,0.62,Geothermal
2021-01-01 05:00:00,2.97,Hydro
2021-01-01 05:00:00,0.00,Photovoltaic
2021-01-01 05:00:00,2.54,Wind
2021-01-01 06:00:00,1.31,Biomass
2021-01-01 06:00:00,0.62,Geothermal
2021-01-01 06:00:00,3.04,Hydro
2021-01-01 06:00:00,0.00,Photovoltaic
2021-01-01 06:00:00,2.59,Wind
2021-01-01 07:00:00,1.27,Biomass
2021-01-01 07:00:00,0.62,Geothermal
2021-01-01 07:00:00,3.16,Hydro
2021-01-01 07:00:00,0.10,Photovoltaic
2021-01-01 07:00:00,2.47,Wind
2021-01-01 08:00:00,1.20,Biomass
2021-01-01 08:00:00,0.62,Geothermal
2021-01-01 08:00:00,3.81,Hydro
2021-01-01 08:00:00,1.05,Photovoltaic
2021-01-01 08:00:00,2.45,Wind
2021-01-01 09:00:00,1.20,Biomass
2021-01-01 09:00:00,0.61,Geothermal
2021-01-01 09:00:00,3.90,Hydro
2021-01-01 09:00:00,2.56,Photovoltaic
2021-01-01 09:00:00,2.36,Wind
2021-01-01 10:00:00,1.21,Biomass
2021-01-01 10:00:00,0.60,Geothermal
2021-01-01 10:00:00,3.82,Hydro
2021-01-01 10:00:00,2.83,Photovoltaic
2021-01-01 10:00:00,2.62,Wind
2021-01-01 11:00:00,1.22,Biomass
2021-01-01 11:00:00,0.60,Geothermal
2021-01-01 11:00:00,3.97,Hydro
2021-01-01 11:00:00,3.44,Photovoltaic
2021-01-01 11:00:00,2.86,Wind
2021-01-01 12:00:00,1.27,Biomass
2021-01-01 12:00:00,0.58,Geothermal
2021-01-01 12:00:00,4.99,Hydro
2021-01-01 12:00:00,3.90,Photovoltaic
2021-01-01 12:00:00,3.13,Wind
2021-01-01 13:00:00,1.29,Biomass
2021-01-01 13:00:00,0.58,Geothermal
2021-01-01 13:00:00,4.35,Hydro
2021-01-01 13:00:00,3.25,Photovoltaic
2021-01-01 13:00:00,3.43,Wind
2021-01-01 14:00:00,1.25,Biomass
2021-01-01 14:00:00,0.58,Geothermal
2021-01-01 14:00:00,3.54,Hydro
2021-01-01 14:00:00,2.13,Photovoltaic
2021-01-01 14:00:00,3.69,Wind
2021-01-01 15:00:00,1.30,Biomass
2021-01-01 15:00:00,0.58,Geothermal
2021-01-01 15:00:00,3.78,Hydro
2021-01-01 15:00:00,0.92,Photovoltaic
2021-01-01 15:00:00,3.50,Wind
2021-01-01 16:00:00,1.45,Biomass
2021-01-01 16:00:00,0.56,Geothermal
2021-01-01 16:00:00,4.43,Hydro
2021-01-01 16:00:00,0.10,Photovoltaic
2021-01-01 16:00:00,3.09,Wind
2021-01-01 17:00:00,1.51,Biomass
2021-01-01 17:00:00,0.57,Geothermal
2021-01-01 17:00:00,5.44,Hydro
2021-01-01 17:00:00,0.00,Photovoltaic
2021-01-01 17:00:00,3.05,Wind
2021-01-01 18:00:00,1.53,Biomass
2021-01-01 18:00:00,0.60,Geothermal
2021-01-01 18:00:00,5.70,Hydro
2021-01-01 18:00:00,0.00,Photovoltaic
2021-01-01 18:00:00,3.19,Wind
2021-01-01 19:00:00,1.57,Biomass
2021-01-01 19:00:00,0.61,Geothermal
2021-01-01 19:00:00,5.55,Hydro
2021-01-01 19:00:00,0.00,Photovoltaic
2021-01-01 19:00:00,3.54,Wind
2021-01-01 20:00:00,1.56,Biomass
2021-01-01 20:00:00,0.61,Geothermal
2021-01-01 20:00:00,4.87,Hydro
2021-01-01 20:00:00,0.00,Photovoltaic
2021-01-01 20:00:00,3.71,Wind
2021-01-01 21:00:00,1.55,Biomass
2021-01-01 21:00:00,0.61,Geothermal
2021-01-01 21:00:00,4.55,Hydro
2021-01-01 21:00:00,0.00,Photovoltaic
2021-01-01 21:00:00,3.85,Wind
2021-01-01 22:00:00,1.55,Biomass
2021-01-01 22:00:00,0.62,Geothermal
2021-01-01 22:00:00,4.08,Hydro
2021-01-01 22:00:00,0.00,Photovoltaic
2021-01-01 22:00:00,3.92,Wind
2021-01-01 23:00:00,1.46,Biomass
2021-01-01 23:00:00,0.62,Geothermal
2021-01-01 23:00:00,3.57,Hydro
2021-01-01 23:00:00,0.00,Photovoltaic
2021-01-01 23:00:00,4.11,Wind
